,供给(元/㎡),forecast
2014-03-01,48371,48371.0
2014-04-01,51986,51986.0
2014-05-01,49808,49808.0
2014-06-01,50964,50617.8828125
2014-07-01,53607,51882.88671875
2014-08-01,51656,53379.109375
2014-09-01,50555,53372.55859375
2014-10-01,52585,52819.5
2014-11-01,50396,53162.515625
2014-12-01,52181,52006.70703125
2015-01-01,55394,53145.38671875
2015-02-01,54289,55215.33984375
2015-03-01,51256,56130.9140625
2015-04-01,51455,54785.0546875
2015-05-01,51742,53525.2890625
2015-06-01,54540,52765.953125
2015-07-01,54703,54841.34765625
2015-08-01,57152,55982.87109375
2015-09-01,56062,58507.328125
2015-10-01,55678,58609.5859375
2015-11-01,57186,58772.88671875
2015-12-01,59567,59288.16796875
2016-01-01,61616,61110.4140625
2016-02-01,63222,63450.5390625
2016-03-01,71579,65581.6953125
2016-04-01,66895,71211.0703125
2016-05-01,70869,70859.6328125
2016-06-01,73301,73984.9296875
2016-07-01,74714,74931.796875
2016-08-01,76656,76993.1484375
2016-09-01,77115,78735.25
2016-10-01,76737,79588.6640625
2016-11-01,76950,79893.75
2016-12-01,79866,80031.8671875
2017-01-01,80490,81383.390625
2017-02-01,82197,82177.0234375
2017-03-01,85423,83659.09375
2017-04-01,80632,85500.2265625
2017-05-01,84327,84133.1953125
2017-06-01,85156,85767.609375
2017-07-01,90936,85707.4609375
2017-08-01,88142,89073.7890625
2017-09-01,89801,88770.078125
2017-10-01,88753,90211.265625
2017-11-01,88197,89446.84375
2017-12-01,88393,89388.3125
2018-01-01,91091,89205.140625
2018-02-01,90623,90277.7109375
2018-03-01,90748,90447.515625
2018-04-01,91490,90942.5859375
2018-05-01,90071,91182.8515625
2018-06-01,92089,90699.140625
2018-07-01,94805,91513.0546875
2018-08-01,96323,92616.0625
2018-09-01,95566,93907.6015625
2018-10-01,95717,94254.3203125
2018-11-01,90945,94501.1640625
2018-12-01,89700,92439.6328125
2019-01-01,89626,91391.71875
2019-02-01,93955,91718.90625
2019-03-01,96489,92126.5859375
2019-04-01,,93436.9921875
2019-05-01,,93502.4921875
2019-06-01,,93583.734375
