,供给(元/㎡),forecast
2014-03-01,16432,16432.0
2014-04-01,16773,16773.0
2014-05-01,17470,17470.0
2014-06-01,16801,17698.318359375
2014-07-01,17544,17181.927734375
2014-08-01,16987,17539.359375
2014-09-01,16959,17351.37109375
2014-10-01,16864,17065.65625
2014-11-01,17379,17080.431640625
2014-12-01,17017,17510.990234375
2015-01-01,17176,17328.56640625
2015-02-01,16572,17287.111328125
2015-03-01,17119,16870.92578125
2015-04-01,16669,17177.40234375
2015-05-01,16884,17039.001953125
2015-06-01,17521,17006.640625
2015-07-01,18400,17704.009765625
2015-08-01,18612,18537.142578125
2015-09-01,18235,18815.81640625
2015-10-01,18609,18521.265625
2015-11-01,18199,18724.80078125
2015-12-01,18743,18489.154296875
2016-01-01,19016,18826.28125
2016-02-01,20568,19208.001953125
2016-03-01,20932,20586.138671875
2016-04-01,21743,21430.6015625
2016-05-01,21850,22813.62890625
2016-06-01,22484,23549.728515625
2016-07-01,24501,24691.40234375
2016-08-01,26270,26409.771484375
2016-09-01,28708,28197.166015625
2016-10-01,29275,29291.412109375
2016-11-01,30388,29549.9296875
2016-12-01,28957,30520.17578125
2017-01-01,29679,30324.47265625
2017-02-01,32695,30984.58984375
2017-03-01,31332,30995.828125
2017-04-01,29779,30680.41015625
2017-05-01,30101,31274.169921875
2017-06-01,31302,31288.248046875
2017-07-01,32151,31022.38671875
2017-08-01,31751,31158.048828125
2017-09-01,31507,31322.873046875
2017-10-01,31683,31546.91796875
2017-11-01,31730,31529.341796875
2017-12-01,31044,31448.25390625
2018-01-01,32327,31323.455078125
2018-02-01,32382,31743.76171875
2018-03-01,32025,31358.626953125
2018-04-01,31785,31607.01171875
2018-05-01,31784,31624.8671875
2018-06-01,31869,31576.548828125
2018-07-01,32395,31535.251953125
2018-08-01,31704,31638.716796875
2018-09-01,31948,31414.69921875
2018-10-01,31729,31723.015625
2018-11-01,31561,31454.91796875
2018-12-01,32430,31513.564453125
2019-01-01,31910,31682.568359375
2019-02-01,32719,31774.04296875
2019-03-01,33279,31886.25
2019-04-01,,31716.34765625
2019-05-01,,31740.5078125
2019-06-01,,31810.587890625
