,供给(元/㎡),forecast
2014-03-01,15753,15753.0
2014-04-01,16012,16012.0
2014-05-01,15588,15588.0
2014-06-01,15472,15400.1708984375
2014-07-01,15827,15135.2548828125
2014-08-01,15712,15670.5791015625
2014-09-01,16134,15582.15234375
2014-10-01,15602,15724.2763671875
2014-11-01,15713,15434.4306640625
2014-12-01,15919,15261.16015625
2015-01-01,15353,15684.111328125
2015-02-01,16169,15249.12890625
2015-03-01,15075,15678.318359375
2015-04-01,15112,15156.251953125
2015-05-01,14690,14664.6474609375
2015-06-01,14768,15090.578125
2015-07-01,15239,15246.123046875
2015-08-01,15484,15133.3203125
2015-09-01,15450,15300.0830078125
2015-10-01,15278,15506.9677734375
2015-11-01,15139,15384.04296875
2015-12-01,15161,15354.7373046875
2016-01-01,15738,15418.9599609375
2016-02-01,16716,15716.109375
2016-03-01,16071,16247.154296875
2016-04-01,16694,16097.521484375
2016-05-01,16366,17021.140625
2016-06-01,16021,17187.326171875
2016-07-01,17028,16841.060546875
2016-08-01,17859,17263.861328125
2016-09-01,19656,19429.5859375
2016-10-01,20988,20575.296875
2016-11-01,22702,21700.3359375
2016-12-01,21308,22993.171875
2017-01-01,22379,23340.318359375
2017-02-01,25080,23610.650390625
2017-03-01,23451,23546.61328125
2017-04-01,22699,23178.3984375
2017-05-01,23439,23460.576171875
2017-06-01,22194,23582.486328125
2017-07-01,24036,23485.669921875
2017-08-01,24545,23643.662109375
2017-09-01,24686,23334.1171875
2017-10-01,24158,23260.32421875
2017-11-01,23041,23252.8125
2017-12-01,23553,23365.74609375
2018-01-01,23775,23505.482421875
2018-02-01,23166,23443.970703125
2018-03-01,24589,23424.103515625
2018-04-01,23906,23470.810546875
2018-05-01,22927,23275.435546875
2018-06-01,23103,23403.34375
2018-07-01,23633,23537.951171875
2018-08-01,23598,23519.33984375
2018-09-01,22948,23435.578125
2018-10-01,22211,23453.5234375
2018-11-01,23195,23559.0078125
2018-12-01,23659,23628.48828125
2019-01-01,24063,23491.595703125
2019-02-01,23351,23557.08984375
2019-03-01,23894,23554.36328125
2019-04-01,,23453.919921875
2019-05-01,,23456.041015625
2019-06-01,,23474.07421875
