,供给(元/㎡),forecast
2014-03-01,21919,21919.0
2014-04-01,22204,22204.0
2014-05-01,21788,21788.0
2014-06-01,21939,21911.04296875
2014-07-01,22716,21935.37890625
2014-08-01,23043,22522.947265625
2014-09-01,22812,23091.53515625
2014-10-01,22802,23176.349609375
2014-11-01,23053,23151.265625
2014-12-01,23110,23299.421875
2015-01-01,23534,23430.263671875
2015-02-01,23516,23830.79296875
2015-03-01,23275,23973.6328125
2015-04-01,23513,23860.82421875
2015-05-01,23881,23960.15625
2015-06-01,24425,24282.8359375
2015-07-01,24742,24875.720703125
2015-08-01,25381,25369.42578125
2015-09-01,25460,26064.36328125
2015-10-01,26084,26383.998046875
2015-11-01,26332,26999.10546875
2015-12-01,26723,27391.701171875
2016-01-01,27659,27870.224609375
2016-02-01,29843,28731.736328125
2016-03-01,32943,30690.21484375
2016-04-01,32798,33650.8125
2016-05-01,33394,34501.16796875
2016-06-01,34791,35293.79296875
2016-07-01,35686,36309.14453125
2016-08-01,36178,37189.1640625
2016-09-01,39437,37774.203125
2016-10-01,40586,39900.40625
2016-11-01,41694,40855.640625
2016-12-01,41091,41627.97265625
2017-01-01,40863,41379.81640625
2017-02-01,43118,41275.69140625
2017-03-01,42376,42412.0546875
2017-04-01,41929,42068.6953125
2017-05-01,41904,41881.64453125
2017-06-01,42042,41843.69921875
2017-07-01,42495,41902.859375
2017-08-01,42027,42132.8203125
2017-09-01,42290,41909.78125
2017-10-01,42118,42040.921875
2017-11-01,43224,41951.05078125
2017-12-01,42099,42504.51171875
2018-01-01,43100,41958.55078125
2018-02-01,42894,42455.078125
2018-03-01,43261,42349.4375
2018-04-01,43623,42542.6328125
2018-05-01,42209,42719.3359375
2018-06-01,41555,42041.1484375
2018-07-01,41905,41704.87109375
2018-08-01,41503,41831.3984375
2018-09-01,41174,41622.28515625
2018-10-01,40783,41453.48046875
2018-11-01,39723,41232.08984375
2018-12-01,40511,40659.25390625
2019-01-01,39617,41006.69140625
2019-02-01,39648,41164.0078125
2019-03-01,40137,41316.375
2019-04-01,,40761.21484375
2019-05-01,,40995.2890625
2019-06-01,,41225.5546875
