,供给(元/㎡),forecast
2014-03-01,8976,8976.0
2014-04-01,9257,9257.0
2014-05-01,8881,8881.0
2014-06-01,10372,9708.451171875
2014-07-01,9421,10287.59375
2014-08-01,9064,10101.734375
2014-09-01,9670,9841.5380859375
2014-10-01,9183,10093.861328125
2014-11-01,9974,10054.40234375
2014-12-01,8709,10384.5537109375
2015-01-01,8543,9890.22265625
2015-02-01,8745,8571.0576171875
2015-03-01,10745,9164.837890625
2015-04-01,9308,10128.9013671875
2015-05-01,9521,9878.1875
2015-06-01,9268,9617.990234375
2015-07-01,12468,10160.8076171875
2015-08-01,12040,11701.5498046875
2015-09-01,10624,11066.083984375
2015-10-01,12078,11866.6494140625
2015-11-01,11604,12464.6142578125
2015-12-01,12815,12664.7265625
2016-01-01,11025,14138.9501953125
2016-02-01,13257,12294.912109375
2016-03-01,12768,12454.0947265625
2016-04-01,12734,12851.818359375
2016-05-01,11667,12419.0791015625
2016-06-01,11480,12294.6865234375
2016-07-01,12285,12081.2734375
2016-08-01,14840,13929.154296875
2016-09-01,19668,15398.3193359375
2016-10-01,14803,15695.5185546875
2016-11-01,13952,13866.181640625
2016-12-01,13342,13539.5283203125
2017-01-01,14827,14374.69921875
2017-02-01,15143,13773.396484375
2017-03-01,13230,15269.0283203125
2017-04-01,15292,15274.6005859375
2017-05-01,14979,15427.1298828125
2017-06-01,15312,15323.0810546875
2017-07-01,17263,17532.380859375
2017-08-01,18224,19096.48828125
2017-09-01,19852,19109.9765625
2017-10-01,19924,18892.630859375
2017-11-01,19033,18855.5
2017-12-01,19283,18838.779296875
2018-01-01,20435,18585.751953125
2018-02-01,19061,18741.40234375
2018-03-01,19688,18795.861328125
2018-04-01,16330,18359.087890625
2018-05-01,17307,17535.353515625
2018-06-01,18411,17824.228515625
2018-07-01,19393,18771.51953125
2018-08-01,17983,18796.826171875
2018-09-01,17185,18308.634765625
2018-10-01,17951,18050.81640625
2018-11-01,17450,18223.5234375
2018-12-01,17771,17880.30859375
2019-01-01,19340,18133.771484375
2019-02-01,18624,18388.474609375
2019-03-01,19768,18499.298828125
2019-04-01,,18650.521484375
2019-05-01,,18550.162109375
2019-06-01,,18332.90625
