,供给(元/㎡),forecast
2014-03-01,33268,33268.0
2014-04-01,33126,33126.0
2014-05-01,32987,32987.0
2014-06-01,33019,33676.859375
2014-07-01,32800,33554.3671875
2014-08-01,32794,33357.96484375
2014-09-01,33335,33214.11328125
2014-10-01,32934,33540.16015625
2014-11-01,32760,33603.50390625
2014-12-01,33249,33400.8828125
2015-01-01,33603,33501.56640625
2015-02-01,33328,34038.546875
2015-03-01,32810,34239.84765625
2015-04-01,33082,33801.265625
2015-05-01,33838,33556.51171875
2015-06-01,34461,34121.703125
2015-07-01,34552,35164.140625
2015-08-01,35862,35836.09375
2015-09-01,36905,36952.48828125
2015-10-01,37312,38356.90234375
2015-11-01,37855,39381.4140625
2015-12-01,39369,40080.96484375
2016-01-01,41246,41260.09765625
2016-02-01,43782,43004.015625
2016-03-01,47186,45252.7421875
2016-04-01,47362,48094.359375
2016-05-01,48374,49681.26953125
2016-06-01,49421,50708.5546875
2016-07-01,50836,51557.5078125
2016-08-01,52018,52699.26953125
2016-09-01,54295,53841.69140625
2016-10-01,56046,55437.92578125
2016-11-01,57526,56949.203125
2016-12-01,58208,58054.13671875
2017-01-01,58543,58697.375
2017-02-01,59295,59014.08984375
2017-03-01,60008,59356.3828125
2017-04-01,60515,59715.09375
2017-05-01,59766,60001.7890625
2017-06-01,59630,59821.69140625
2017-07-01,59338,59706.43359375
2017-08-01,61331,59562.41796875
2017-09-01,61506,60221.703125
2017-10-01,62118,60486.61328125
2017-11-01,63239,60767.13671875
2017-12-01,62149,61202.39453125
2018-01-01,60674,60956.3828125
2018-02-01,60940,60394.5390625
2018-03-01,60124,60307.796875
2018-04-01,60553,60013.12890625
2018-05-01,59841,60080.8359375
2018-06-01,60349,59855.75
2018-07-01,60934,59966.625
2018-08-01,61431,60202.50390625
2018-09-01,60982,60450.3515625
2018-10-01,59265,60365.19140625
2018-11-01,60077,59745.69140625
2018-12-01,59930,59820.26953125
2019-01-01,59612,59804.3828125
2019-02-01,58480,59945.5859375
2019-03-01,59285,60083.1640625
2019-04-01,,59398.7265625
2019-05-01,,59597.35546875
2019-06-01,,59789.9765625
