,供给(元/㎡),forecast
2014-03-01,32943,32943.0
2014-04-01,33701,33701.0
2014-05-01,33194,33194.0
2014-06-01,33049,32409.548828125
2014-07-01,33182,32424.27734375
2014-08-01,33401,32120.947265625
2014-09-01,33505,32249.599609375
2014-10-01,33453,32524.21484375
2014-11-01,33813,32683.541015625
2014-12-01,34433,32909.01953125
2015-01-01,35319,33453.43359375
2015-02-01,34676,34516.88671875
2015-03-01,33761,35028.71484375
2015-04-01,34687,34612.296875
2015-05-01,34311,34217.08203125
2015-06-01,36086,34095.8125
2015-07-01,36364,35312.10546875
2015-08-01,36928,36314.1953125
2015-09-01,37178,37627.56640625
2015-10-01,38582,38195.33984375
2015-11-01,39178,39287.84765625
2015-12-01,40000,40414.109375
2016-01-01,40728,41696.03125
2016-02-01,42577,42665.6171875
2016-03-01,47688,44143.69140625
2016-04-01,48025,47330.55859375
2016-05-01,48811,49927.8203125
2016-06-01,50106,51831.734375
2016-07-01,52213,52594.41015625
2016-08-01,54018,53847.62109375
2016-09-01,56199,55270.12890625
2016-10-01,56647,56774.4921875
2016-11-01,57445,57643.48828125
2016-12-01,56953,58288.59765625
2017-01-01,56633,58388.4921875
2017-02-01,58000,58377.5078125
2017-03-01,59420,58534.8671875
2017-04-01,58790,58989.60546875
2017-05-01,59058,59278.5703125
2017-06-01,59867,59459.23046875
2017-07-01,59641,59556.86328125
2017-08-01,60494,59659.4609375
2017-09-01,60941,59905.18359375
2017-10-01,60514,60059.78125
2017-11-01,60516,60148.4140625
2017-12-01,59068,60157.34765625
2018-01-01,59891,59842.26953125
2018-02-01,60005,59813.9921875
2018-03-01,60573,59732.37890625
2018-04-01,59948,59968.0703125
2018-05-01,58693,59939.83984375
2018-06-01,58642,59712.54296875
2018-07-01,59251,59445.60546875
2018-08-01,58909,59366.703125
2018-09-01,59532,59375.91015625
2018-10-01,59724,59541.0078125
2018-11-01,58970,59609.7578125
2018-12-01,58858,59583.45703125
2019-01-01,58886,59490.6640625
2019-02-01,58472,59566.81640625
2019-03-01,58814,59631.078125
2019-04-01,,59286.98046875
2019-05-01,,59413.47265625
2019-06-01,,59525.0078125
