,供给(元/㎡),forecast
2014-03-01,30473,30473.0
2014-04-01,31301,31301.0
2014-05-01,32211,32211.0
2014-06-01,30601,31914.048828125
2014-07-01,31562,30759.5625
2014-08-01,30511,31572.658203125
2014-09-01,31782,30329.18359375
2014-10-01,32171,31596.7890625
2014-11-01,31931,31993.51171875
2014-12-01,32846,32171.828125
2015-01-01,33211,33111.1953125
2015-02-01,33914,33579.46484375
2015-03-01,32062,34531.18359375
2015-04-01,32631,32971.8125
2015-05-01,32536,33348.5
2015-06-01,33745,32920.19921875
2015-07-01,34317,34205.53515625
2015-08-01,35549,34927.55859375
2015-09-01,35539,36431.73828125
2015-10-01,35902,36681.94921875
2015-11-01,35944,37259.55078125
2015-12-01,36726,37330.32421875
2016-01-01,38297,38117.28125
2016-02-01,40410,39604.83984375
2016-03-01,44739,41693.09375
2016-04-01,45122,45710.390625
2016-05-01,45302,46148.21484375
2016-06-01,46599,46910.4921875
2016-07-01,48077,48019.53125
2016-08-01,49023,49146.9375
2016-09-01,49923,49959.328125
2016-10-01,50026,50796.2421875
2016-11-01,51080,50916.4140625
2016-12-01,50860,51872.91015625
2017-01-01,52105,51590.72265625
2017-02-01,53428,52754.296875
2017-03-01,53303,53609.1875
2017-04-01,53923,53517.578125
2017-05-01,53843,54212.25390625
2017-06-01,54963,54047.55078125
2017-07-01,57022,55023.75
2017-08-01,59137,56451.3984375
2017-09-01,59062,57929.7578125
2017-10-01,58485,57841.40625
2017-11-01,58021,57735.0625
2017-12-01,56529,57459.6640625
2018-01-01,58346,56298.16796875
2018-02-01,59056,57861.0546875
2018-03-01,56639,57891.51171875
2018-04-01,57590,56203.05078125
2018-05-01,57350,57411.5
2018-06-01,57634,56720.8359375
2018-07-01,56976,57119.51953125
2018-08-01,56660,56532.91796875
2018-09-01,55130,56431.66796875
2018-10-01,55043,55198.99609375
2018-11-01,55292,55303.8984375
2018-12-01,54918,55287.11328125
2019-01-01,54897,54948.17578125
2019-02-01,53751,55147.77734375
2019-03-01,53528,55299.64453125
2019-04-01,,54055.1328125
2019-05-01,,54381.00390625
2019-06-01,,54673.265625
