,供给(元/㎡),forecast
2014-03-01,34186,34186.0
2014-04-01,35064,35064.0
2014-05-01,34354,34354.0
2014-06-01,34624,34203.7734375
2014-07-01,35018,34368.40234375
2014-08-01,34806,34448.38671875
2014-09-01,37068,34593.40625
2014-10-01,35140,35913.171875
2014-11-01,35970,35688.22265625
2014-12-01,36106,36158.9296875
2015-01-01,36659,35896.32421875
2015-02-01,36189,36548.390625
2015-03-01,36415,36554.70703125
2015-04-01,37513,36684.43359375
2015-05-01,37107,37223.21875
2015-06-01,38873,37503.515625
2015-07-01,39170,38699.16796875
2015-08-01,39938,39387.6640625
2015-09-01,39712,40494.125
2015-10-01,40161,40734.19140625
2015-11-01,40293,41149.73046875
2015-12-01,41474,41302.55859375
2016-01-01,42336,42136.87890625
2016-02-01,43956,43035.7421875
2016-03-01,47566,44550.14453125
2016-04-01,46517,47235.44140625
2016-05-01,46833,48052.83984375
2016-06-01,47140,48999.2421875
2016-07-01,48539,48930.4921875
2016-08-01,50969,49820.89453125
2016-09-01,53097,51461.59375
2016-10-01,53755,53341.02734375
2016-11-01,54203,54549.1015625
2016-12-01,53867,55339.06640625
2017-01-01,53320,55370.625
2017-02-01,54775,55187.50390625
2017-03-01,57432,55758.421875
2017-04-01,56698,57012.484375
2017-05-01,57650,57083.76953125
2017-06-01,58151,58042.46484375
2017-07-01,58273,58123.73046875
2017-08-01,59939,58355.5703125
2017-09-01,59296,59179.2734375
2017-10-01,59101,58856.06640625
2017-11-01,59800,59093.96484375
2017-12-01,59612,59290.18359375
2018-01-01,58968,59139.92578125
2018-02-01,59488,58996.2734375
2018-03-01,59918,59218.21484375
2018-04-01,59658,59264.56640625
2018-05-01,57685,59218.5
2018-06-01,57812,58469.27734375
2018-07-01,59479,58546.484375
2018-08-01,59139,58902.07421875
2018-09-01,60103,58728.09765625
2018-10-01,58588,59450.265625
2018-11-01,58669,58694.16796875
2018-12-01,57924,58971.83203125
2019-01-01,56934,58366.99609375
2019-02-01,58203,58488.63671875
2019-03-01,58844,58638.23828125
2019-04-01,,58473.14453125
2019-05-01,,58584.09765625
2019-06-01,,58716.3359375
