,供给(元/㎡),forecast
2014-03-01,9706,9706.0
2014-04-01,9546,9546.0
2014-05-01,9672,9672.0
2014-06-01,9598,9519.1845703125
2014-07-01,9702,9664.359375
2014-08-01,9524,9596.7880859375
2014-09-01,9535,9583.728515625
2014-10-01,9406,9412.51171875
2014-11-01,9580,9481.8427734375
2014-12-01,9329,9545.2109375
2015-01-01,9513,9544.2431640625
2015-02-01,9454,9427.30078125
2015-03-01,9275,9668.896484375
2015-04-01,9293,9364.4072265625
2015-05-01,9460,9366.7607421875
2015-06-01,9488,9640.134765625
2015-07-01,9411,9701.642578125
2015-08-01,9334,9521.46875
2015-09-01,9208,9412.7578125
2015-10-01,9193,9362.630859375
2015-11-01,9138,9377.3369140625
2015-12-01,9242,9431.8251953125
2016-01-01,9488,9501.63671875
2016-02-01,10273,9744.482421875
2016-03-01,9821,10302.2783203125
2016-04-01,10372,10269.4599609375
2016-05-01,10248,10132.0224609375
2016-06-01,10585,10668.138671875
2016-07-01,10920,11513.3095703125
2016-08-01,11852,12471.919921875
2016-09-01,14658,14350.8203125
2016-10-01,15551,15475.056640625
2016-11-01,16235,15816.654296875
2016-12-01,16145,16830.201171875
2017-01-01,16747,17159.70703125
2017-02-01,18152,17452.158203125
2017-03-01,17331,17844.65625
2017-04-01,18021,18047.455078125
2017-05-01,17896,18366.794921875
2017-06-01,18450,18273.916015625
2017-07-01,18923,18514.60546875
2017-08-01,19166,18666.1953125
2017-09-01,19614,18897.494140625
2017-10-01,18942,19107.408203125
2017-11-01,18293,19101.62890625
2017-12-01,18919,18970.5234375
2018-01-01,19184,18856.04296875
2018-02-01,18962,18868.376953125
2018-03-01,20010,18993.11328125
2018-04-01,19818,19197.03125
2018-05-01,19142,19271.966796875
2018-06-01,19400,19325.498046875
2018-07-01,19207,19237.412109375
2018-08-01,19221,19112.46484375
2018-09-01,19360,19136.34375
2018-10-01,19447,19125.8046875
2018-11-01,19564,19163.998046875
2018-12-01,19046,19223.392578125
2019-01-01,19212,19166.6484375
2019-02-01,19477,19233.56640625
2019-03-01,19998,19307.359375
2019-04-01,,19273.828125
2019-05-01,,19315.0859375
2019-06-01,,19367.642578125
