,供给(元/㎡),forecast
2014-03-01,40339,40339.0
2014-04-01,40976,40976.0
2014-05-01,41859,41859.0
2014-06-01,41599,42173.96875
2014-07-01,41585,41944.28515625
2014-08-01,41383,42301.921875
2014-09-01,41570,41973.9140625
2014-10-01,40830,42221.5703125
2014-11-01,41418,41253.66796875
2014-12-01,42600,42144.984375
2015-01-01,42575,43118.16015625
2015-02-01,42824,43088.1953125
2015-03-01,40879,43810.82421875
2015-04-01,40697,41564.48046875
2015-05-01,40913,41764.64453125
2015-06-01,42110,41319.9921875
2015-07-01,42157,42608.7109375
2015-08-01,44293,42515.2265625
2015-09-01,44327,45335.625
2015-10-01,44279,44998.23046875
2015-11-01,45191,45737.95703125
2015-12-01,46359,46723.37109375
2016-01-01,48259,47755.9296875
2016-02-01,50342,49788.34375
2016-03-01,55101,51872.33984375
2016-04-01,53554,56364.50390625
2016-05-01,54253,55196.37109375
2016-06-01,55436,57610.0390625
2016-07-01,56254,57912.48828125
2016-08-01,57539,58635.59765625
2016-09-01,60456,59900.0703125
2016-10-01,61925,62089.05859375
2016-11-01,64265,63145.08203125
2016-12-01,65133,65380.15234375
2017-01-01,63314,66104.9609375
2017-02-01,64991,65638.0703125
2017-03-01,67713,67056.2109375
2017-04-01,67945,67919.40625
2017-05-01,67593,68269.015625
2017-06-01,68374,68808.6796875
2017-07-01,70235,69318.4609375
2017-08-01,71831,70125.109375
2017-09-01,72424,70966.484375
2017-10-01,71403,71597.8046875
2017-11-01,71722,71462.625
2017-12-01,71087,71834.9921875
2018-01-01,70443,71255.1328125
2018-02-01,69730,71066.4765625
2018-03-01,71043,70601.921875
2018-04-01,71318,71150.171875
2018-05-01,70698,70998.703125
2018-06-01,71739,71005.59375
2018-07-01,71792,71628.109375
2018-08-01,72244,71418.6796875
2018-09-01,71628,71886.9609375
2018-10-01,72025,71573.46875
2018-11-01,71631,71918.5
2018-12-01,71345,71550.5234375
2019-01-01,70352,71539.6484375
2019-02-01,71757,71675.4375
2019-03-01,71684,71772.6328125
2019-04-01,,71278.9375
2019-05-01,,71435.9609375
2019-06-01,,71554.7421875
