,供给(元/㎡),forecast
2014-03-01,17239,17239.0
2014-04-01,17453,17453.0
2014-05-01,18909,18909.0
2014-06-01,17853,18757.0546875
2014-07-01,19048,18377.06640625
2014-08-01,18248,18633.712890625
2014-09-01,18583,18661.1875
2014-10-01,18734,18382.541015625
2014-11-01,18866,18794.322265625
2014-12-01,19961,18895.150390625
2015-01-01,20409,19819.7578125
2015-02-01,20916,20588.134765625
2015-03-01,19929,21059.76953125
2015-04-01,19638,20464.2265625
2015-05-01,19103,19776.228515625
2015-06-01,19786,19270.541015625
2015-07-01,20140,19631.78125
2015-08-01,20540,20267.109375
2015-09-01,19848,20658.162109375
2015-10-01,20685,20244.91015625
2015-11-01,19545,20601.337890625
2015-12-01,19551,20083.099609375
2016-01-01,19671,19539.525390625
2016-02-01,20170,19733.994140625
2016-03-01,20941,20189.091796875
2016-04-01,19944,21006.935546875
2016-05-01,23325,20494.302734375
2016-06-01,24035,22802.046875
2016-07-01,24729,24663.275390625
2016-08-01,25188,25779.134765625
2016-09-01,27715,26477.234375
2016-10-01,28135,28509.55078125
2016-11-01,29756,29220.43359375
2016-12-01,29353,30708.3125
2017-01-01,31781,30500.732421875
2017-02-01,32866,32479.994140625
2017-03-01,32337,32646.751953125
2017-04-01,31654,32632.607421875
2017-05-01,31190,32437.046875
2017-06-01,32181,32366.9921875
2017-07-01,34718,33092.82421875
2017-08-01,36059,34444.66015625
2017-09-01,35580,34309.03125
2017-10-01,34011,33363.4609375
2017-11-01,33582,32611.736328125
2017-12-01,32010,33019.23046875
2018-01-01,33133,32219.7109375
2018-02-01,34150,33494.54296875
2018-03-01,32770,33707.0234375
2018-04-01,32118,32422.001953125
2018-05-01,32434,32583.23828125
2018-06-01,32601,32994.625
2018-07-01,34030,32970.73046875
2018-08-01,33424,33855.05078125
2018-09-01,31919,32865.328125
2018-10-01,32522,32225.400390625
2018-11-01,33878,33127.484375
2018-12-01,33916,33771.140625
2019-01-01,33264,33247.72265625
2019-02-01,34643,33056.6484375
2019-03-01,33413,32973.07421875
2019-04-01,,32608.07421875
2019-05-01,,32677.939453125
2019-06-01,,32783.75390625
