,供给(元/㎡),forecast
2014-03-01,59371,59371.0
2014-04-01,59189,59189.0
2014-05-01,58916,58916.0
2014-06-01,57826,59247.56640625
2014-07-01,57387,58187.859375
2014-08-01,56886,57288.30078125
2014-09-01,57269,56380.72265625
2014-10-01,56836,56360.91796875
2014-11-01,56843,56026.1484375
2014-12-01,56730,55940.03515625
2015-01-01,56550,55724.83203125
2015-02-01,57036,55519.2734375
2015-03-01,57447,55822.3515625
2015-04-01,57556,56349.9609375
2015-05-01,58878,56763.26953125
2015-06-01,60054,58046.703125
2015-07-01,59774,59620.27734375
2015-08-01,61126,60179.21484375
2015-09-01,65626,61451.7265625
2015-10-01,60532,65513.8671875
2015-11-01,61924,63275.98828125
2015-12-01,64670,63504.6796875
2016-01-01,65856,65164.40234375
2016-02-01,68839,67208.9375
2016-03-01,76374,70249.828125
2016-04-01,76203,76622.7734375
2016-05-01,78227,78458.921875
2016-06-01,80670,80724.3671875
2016-07-01,83035,82813.59375
2016-08-01,78455,85402.2265625
2016-09-01,86688,84177.84375
2016-10-01,90807,88067.8984375
2016-11-01,93220,92145.9453125
2016-12-01,96694,98658.234375
2017-01-01,98458,102755.4765625
2017-02-01,102980,104946.609375
2017-03-01,108192,106496.171875
2017-04-01,114515,108103.4375
2017-05-01,109450,109184.2265625
2017-06-01,111397,107954.3125
2017-07-01,110871,108238.1640625
2017-08-01,108598,108102.1796875
2017-09-01,107045,107476.7578125
2017-10-01,106649,106813.515625
2017-11-01,103896,106544.0234375
2017-12-01,102654,105736.6640625
2018-01-01,104042,105129.2109375
2018-02-01,109093,105607.1015625
2018-03-01,105080,107458.859375
2018-04-01,101907,106397.0546875
2018-05-01,106086,104971.6015625
2018-06-01,105724,106092.7578125
2018-07-01,105492,106680.9375
2018-08-01,104580,106159.3515625
2018-09-01,108082,105885.453125
2018-10-01,106191,106872.4765625
2018-11-01,107831,106618.828125
2018-12-01,106279,106820.0078125
2019-01-01,106466,106555.9765625
2019-02-01,104460,106397.8671875
2019-03-01,106297,106198.2578125
2019-04-01,,106278.8671875
2019-05-01,,106300.7109375
2019-06-01,,106270.3984375
