,供给(元/㎡),forecast
2014-03-01,26383,26383.0
2014-04-01,25519,25519.0
2014-05-01,25219,25219.0
2014-06-01,24585,25237.802734375
2014-07-01,24293,24704.30859375
2014-08-01,23464,24286.609375
2014-09-01,23690,23462.669921875
2014-10-01,23429,23632.703125
2014-11-01,23409,23735.408203125
2014-12-01,23193,23546.193359375
2015-01-01,22821,23394.697265625
2015-02-01,23313,22893.2890625
2015-03-01,23576,23514.310546875
2015-04-01,23994,24123.857421875
2015-05-01,24178,24462.71484375
2015-06-01,24360,24663.462890625
2015-07-01,24064,24746.00390625
2015-08-01,24224,24362.498046875
2015-09-01,24617,24402.2734375
2015-10-01,24799,25033.751953125
2015-11-01,24977,25279.44140625
2015-12-01,25370,25378.521484375
2016-01-01,25714,25812.201171875
2016-02-01,25562,26244.224609375
2016-03-01,27248,26023.265625
2016-04-01,28723,27771.255859375
2016-05-01,28806,29846.6328125
2016-06-01,29487,29882.083984375
2016-07-01,30889,30307.337890625
2016-08-01,31541,31902.85546875
2016-09-01,35203,32872.8203125
2016-10-01,36091,36230.5390625
2016-11-01,37593,38010.21875
2016-12-01,39455,39592.08203125
2017-01-01,40471,41346.203125
2017-02-01,41692,42594.25
2017-03-01,44811,43627.0703125
2017-04-01,46955,45071.02734375
2017-05-01,46049,45621.28515625
2017-06-01,47696,44803.46484375
2017-07-01,47528,44655.84765625
2017-08-01,42614,44467.05859375
2017-09-01,42805,43807.1640625
2017-10-01,43286,44495.44140625
2017-11-01,45704,44729.5
2017-12-01,44976,45357.71875
2018-01-01,45346,45036.69140625
2018-02-01,43134,44884.0234375
2018-03-01,44192,44594.3671875
2018-04-01,46313,44894.2109375
2018-05-01,46171,45420.65234375
2018-06-01,45802,45030.4921875
2018-07-01,45969,44631.46875
2018-08-01,45371,44746.96875
2018-09-01,45484,44722.72265625
2018-10-01,45518,44802.6796875
2018-11-01,44562,44886.4921875
2018-12-01,44570,44737.99609375
2019-01-01,45071,44843.21484375
2019-02-01,45536,45102.01953125
2019-03-01,45249,45289.6171875
2019-04-01,,44887.9921875
2019-05-01,,45016.80859375
2019-06-01,,45102.0078125
