,供给(元/㎡),forecast
2014-03-01,16220,16220.0
2014-04-01,15836,15836.0
2014-05-01,15830,15830.0
2014-06-01,15465,15905.58203125
2014-07-01,15371,15381.1142578125
2014-08-01,15629,15398.5546875
2014-09-01,15376,15807.39453125
2014-10-01,15267,15332.14453125
2014-11-01,15119,15286.30859375
2014-12-01,14892,15118.8798828125
2015-01-01,14839,14858.4697265625
2015-02-01,14776,14883.5859375
2015-03-01,14937,14813.296875
2015-04-01,14976,15069.7802734375
2015-05-01,14855,15048.8974609375
2015-06-01,15005,14864.2578125
2015-07-01,14996,15134.447265625
2015-08-01,14979,15049.7529296875
2015-09-01,14991,15033.5263671875
2015-10-01,15045,15058.216796875
2015-11-01,15315,15129.376953125
2015-12-01,15475,15490.955078125
2016-01-01,15829,15601.4970703125
2016-02-01,16254,16047.650390625
2016-03-01,17048,16517.451171875
2016-04-01,17963,17510.326171875
2016-05-01,18482,18573.173828125
2016-06-01,18170,19055.8046875
2016-07-01,18454,18425.44921875
2016-08-01,18739,18869.8984375
2016-09-01,19995,19248.3203125
2016-10-01,20437,20995.80078125
2016-11-01,21709,21385.201171875
2016-12-01,22470,22914.126953125
2017-01-01,23042,23724.140625
2017-02-01,23858,23994.96875
2017-03-01,25148,24636.701171875
2017-04-01,27074,25750.18359375
2017-05-01,26967,27097.416015625
2017-06-01,26807,26714.7890625
2017-07-01,27347,26406.84375
2017-08-01,26643,26671.380859375
2017-09-01,25824,26430.685546875
2017-10-01,26261,25738.896484375
2017-11-01,25975,25757.42578125
2017-12-01,25057,25781.841796875
2018-01-01,24760,25029.369140625
2018-02-01,25103,24510.193359375
2018-03-01,24510,24859.125
2018-04-01,24805,24518.205078125
2018-05-01,24020,24535.1015625
2018-06-01,24326,24076.84765625
2018-07-01,24340,24096.6484375
2018-08-01,24053,24455.29296875
2018-09-01,24174,24063.896484375
2018-10-01,24301,24132.189453125
2018-11-01,23709,24387.955078125
2018-12-01,23464,23785.255859375
2019-01-01,23775,23406.833984375
2019-02-01,23196,23406.958984375
2019-03-01,23442,23413.193359375
2019-04-01,,23551.603515625
2019-05-01,,23736.296875
2019-06-01,,23919.810546875
