,供给(元/㎡),forecast
2014-03-01,14229,14229.0
2014-04-01,14940,14940.0
2014-05-01,14635,14635.0
2014-06-01,14441,14922.9736328125
2014-07-01,14702,14274.482421875
2014-08-01,14704,14794.8359375
2014-09-01,13448,14896.2724609375
2014-10-01,14253,13497.1904296875
2014-11-01,13198,14318.900390625
2014-12-01,13078,13710.1533203125
2015-01-01,13467,13249.0380859375
2015-02-01,13801,13554.4814453125
2015-03-01,13519,14049.84375
2015-04-01,13730,13928.298828125
2015-05-01,13695,14066.0185546875
2015-06-01,13604,14089.236328125
2015-07-01,13900,13985.4775390625
2015-08-01,13999,14265.0205078125
2015-09-01,13549,14433.8544921875
2015-10-01,13494,13967.046875
2015-11-01,13926,13811.767578125
2015-12-01,13965,14259.037109375
2016-01-01,14410,14407.486328125
2016-02-01,14554,14814.4345703125
2016-03-01,16643,14973.775390625
2016-04-01,17141,16823.625
2016-05-01,16595,16939.216796875
2016-06-01,17230,17158.994140625
2016-07-01,16714,17812.1484375
2016-08-01,16623,17383.5234375
2016-09-01,18150,17420.05078125
2016-10-01,17873,18369.15625
2016-11-01,20328,20303.634765625
2016-12-01,22177,21288.38671875
2017-01-01,22257,22774.20703125
2017-02-01,23348,23299.29296875
2017-03-01,23900,24157.9765625
2017-04-01,24101,24478.55078125
2017-05-01,25091,24743.82421875
2017-06-01,24506,24949.37890625
2017-07-01,25776,24870.373046875
2017-08-01,25157,24963.416015625
2017-09-01,25971,24884.646484375
2017-10-01,23947,24855.64453125
2017-11-01,26146,24745.9765625
2017-12-01,24845,24916.3203125
2018-01-01,24425,24864.177734375
2018-02-01,24629,24746.240234375
2018-03-01,24918,24883.34765625
2018-04-01,24754,24923.3046875
2018-05-01,24012,24887.79296875
2018-06-01,24772,24807.96484375
2018-07-01,24677,24911.056640625
2018-08-01,24868,24896.955078125
2018-09-01,25887,24901.357421875
2018-10-01,24823,24988.2109375
2018-11-01,25404,24830.658203125
2018-12-01,24021,24831.931640625
2019-01-01,23959,24789.380859375
2019-02-01,24330,24790.150390625
2019-03-01,23652,24725.775390625
2019-04-01,,24747.318359375
2019-05-01,,24850.740234375
2019-06-01,,24909.29296875
