,供给(元/㎡),forecast
2014-03-01,15715,15715.0
2014-04-01,16544,16544.0
2014-05-01,16215,16215.0
2014-06-01,16009,16101.35546875
2014-07-01,16617,16024.3271484375
2014-08-01,16592,16449.693359375
2014-09-01,16550,16060.8876953125
2014-10-01,16539,16076.4208984375
2014-11-01,16218,16086.4658203125
2014-12-01,15750,15869.134765625
2015-01-01,15441,15854.3544921875
2015-02-01,16515,15878.5078125
2015-03-01,15463,16866.841796875
2015-04-01,15560,16102.93359375
2015-05-01,15938,16734.783203125
2015-06-01,16180,16297.4765625
2015-07-01,16147,16255.7099609375
2015-08-01,16336,15916.833984375
2015-09-01,15919,16085.1259765625
2015-10-01,16224,15662.91796875
2015-11-01,15622,16335.5654296875
2015-12-01,16754,15548.775390625
2016-01-01,15742,17101.453125
2016-02-01,15723,16068.0234375
2016-03-01,17568,16729.62890625
2016-04-01,20216,17544.1484375
2016-05-01,19340,19859.263671875
2016-06-01,16672,18519.708984375
2016-07-01,20796,20631.28515625
2016-08-01,21240,21199.990234375
2016-09-01,22899,21691.478515625
2016-10-01,20894,21599.943359375
2016-11-01,22507,22716.412109375
2016-12-01,21919,23234.5
2017-01-01,24915,22322.2265625
2017-02-01,23964,23416.322265625
2017-03-01,23639,24583.15625
2017-04-01,25654,24336.20703125
2017-05-01,27765,24784.435546875
2017-06-01,25033,26195.28125
2017-07-01,27567,25617.58203125
2017-08-01,27348,26434.76171875
2017-09-01,27444,26788.37109375
2017-10-01,26059,26153.541015625
2017-11-01,24835,25410.92578125
2017-12-01,25937,24886.630859375
2018-01-01,23904,25083.095703125
2018-02-01,24408,24842.951171875
2018-03-01,23927,24523.70703125
2018-04-01,23446,24452.978515625
2018-05-01,25674,24269.609375
2018-06-01,24485,24734.90234375
2018-07-01,24980,25084.333984375
2018-08-01,24356,24754.98828125
2018-09-01,24916,24738.8046875
2018-10-01,24579,24747.05859375
2018-11-01,25264,24783.39453125
2018-12-01,24952,24889.490234375
2019-01-01,25001,24979.859375
2019-02-01,25283,25096.142578125
2019-03-01,25071,25040.326171875
2019-04-01,,24976.134765625
2019-05-01,,25039.00390625
2019-06-01,,24896.515625
