,供给(元/㎡),forecast
2014-03-01,17495,17495.0
2014-04-01,18817,18817.0
2014-05-01,18352,18352.0
2014-06-01,18058,18790.37890625
2014-07-01,18856,18658.095703125
2014-08-01,18656,18956.978515625
2014-09-01,18394,19080.375
2014-10-01,18470,18969.259765625
2014-11-01,18240,18892.9375
2014-12-01,19019,18747.7734375
2015-01-01,18730,19135.419921875
2015-02-01,18997,19213.021484375
2015-03-01,17280,19374.974609375
2015-04-01,18067,18421.96875
2015-05-01,18584,18314.109375
2015-06-01,18804,18623.677734375
2015-07-01,19238,19071.005859375
2015-08-01,19220,19488.669921875
2015-09-01,19126,19671.74609375
2015-10-01,19378,19663.197265625
2015-11-01,19673,19777.375
2015-12-01,19665,20042.640625
2016-01-01,19868,20183.80859375
2016-02-01,19892,20337.2421875
2016-03-01,20263,20433.111328125
2016-04-01,20965,20693.01171875
2016-05-01,21099,21291.646484375
2016-06-01,21705,21718.712890625
2016-07-01,20895,22224.583984375
2016-08-01,21823,21996.30859375
2016-09-01,22303,22243.09375
2016-10-01,23268,22962.015625
2016-11-01,24083,23935.017578125
2016-12-01,25182,25122.892578125
2017-01-01,25990,26771.615234375
2017-02-01,27796,28981.302734375
2017-03-01,31793,32080.80078125
2017-04-01,35815,35012.4140625
2017-05-01,35323,35456.34375
2017-06-01,35537,34238.1953125
2017-07-01,35400,34835.44921875
2017-08-01,34164,34755.9609375
2017-09-01,34329,34225.1953125
2017-10-01,34532,33864.8203125
2017-11-01,34891,33748.125
2017-12-01,33361,34000.6953125
2018-01-01,33195,33503.96484375
2018-02-01,33937,32989.140625
2018-03-01,33174,33030.1640625
2018-04-01,31825,32910.2890625
2018-05-01,31764,32180.482421875
2018-06-01,32169,31735.40234375
2018-07-01,33094,32035.5078125
2018-08-01,33078,32529.02734375
2018-09-01,32902,32663.888671875
2018-10-01,32863,32543.75
2018-11-01,32226,32477.849609375
2018-12-01,31822,32199.22265625
2019-01-01,31697,31874.423828125
2019-02-01,31785,31999.44921875
2019-03-01,31866,31960.7109375
2019-04-01,,31931.166015625
2019-05-01,,32092.8671875
2019-06-01,,32057.830078125
