,供给(元/㎡),forecast
2014-03-01,18457,18457.0
2014-04-01,18039,18039.0
2014-05-01,17575,17575.0
2014-06-01,17315,17881.712890625
2014-07-01,17280,17466.052734375
2014-08-01,16746,17368.0
2014-09-01,16698,16834.935546875
2014-10-01,16614,16659.771484375
2014-11-01,16177,16612.2890625
2014-12-01,15673,16158.6025390625
2015-01-01,15426,15580.1455078125
2015-02-01,15885,15320.0126953125
2015-03-01,15899,15854.5654296875
2015-04-01,15505,15946.31640625
2015-05-01,15553,15472.201171875
2015-06-01,16023,15479.1015625
2015-07-01,15583,16036.068359375
2015-08-01,15919,15615.3115234375
2015-09-01,15443,15840.3681640625
2015-10-01,16199,15457.66015625
2015-11-01,16022,16134.54296875
2015-12-01,15784,16097.6015625
2016-01-01,16131,15725.0751953125
2016-02-01,16765,16078.5498046875
2016-03-01,17277,16803.498046875
2016-04-01,18621,17363.79296875
2016-05-01,18511,18768.890625
2016-06-01,17365,18974.41015625
2016-07-01,19060,17860.453125
2016-08-01,20417,19137.93359375
2016-09-01,22055,21016.05078125
2016-10-01,21976,23196.443359375
2016-11-01,24481,23948.158203125
2016-12-01,25726,26241.484375
2017-01-01,26790,28182.279296875
2017-02-01,28811,29230.138671875
2017-03-01,31008,30769.431640625
2017-04-01,32342,32354.478515625
2017-05-01,32786,32839.09375
2017-06-01,34346,32731.779296875
2017-07-01,35560,33376.44921875
2017-08-01,32990,33917.828125
2017-09-01,32860,32888.55078125
2017-10-01,33982,32929.9375
2017-11-01,33941,33130.97265625
2017-12-01,32435,33112.82421875
2018-01-01,30820,32519.451171875
2018-02-01,31563,31641.203125
2018-03-01,31986,31858.9375
2018-04-01,31380,32319.830078125
2018-05-01,31735,31910.17578125
2018-06-01,31899,32028.00390625
2018-07-01,31987,32201.564453125
2018-08-01,32863,32208.18359375
2018-09-01,32937,32653.658203125
2018-10-01,31235,32690.033203125
2018-11-01,30949,31741.75390625
2018-12-01,30357,31502.603515625
2019-01-01,30727,31359.484375
2019-02-01,31112,31624.890625
2019-03-01,31816,31765.470703125
2019-04-01,,32230.880859375
2019-05-01,,32529.15234375
2019-06-01,,32718.08203125
