,供给(元/㎡),forecast
2014-03-01,44329,44329.0
2014-04-01,44209,44209.0
2014-05-01,43829,43829.0
2014-06-01,42930,44003.6640625
2014-07-01,42068,42797.21875
2014-08-01,41080,41739.0546875
2014-09-01,41374,40615.890625
2014-10-01,41205,41393.75
2014-11-01,41318,41364.99609375
2014-12-01,41166,41477.65234375
2015-01-01,41178,41282.38671875
2015-02-01,41735,41292.27734375
2015-03-01,41040,42151.75390625
2015-04-01,40888,41045.49609375
2015-05-01,41305,40771.1640625
2015-06-01,42197,41598.26953125
2015-07-01,41705,42885.20703125
2015-08-01,42016,41919.65234375
2015-09-01,42550,42211.25
2015-10-01,42824,43070.42578125
2015-11-01,43645,43309.8671875
2015-12-01,44608,44318.73046875
2016-01-01,45126,45508.18359375
2016-02-01,46284,45925.39453125
2016-03-01,49091,47265.15625
2016-04-01,50704,50840.42578125
2016-05-01,51779,52462.9609375
2016-06-01,53019,53369.421875
2016-07-01,54426,54731.671875
2016-08-01,55745,56356.875
2016-09-01,59445,57886.2578125
2016-10-01,62235,62029.453125
2016-11-01,64164,65106.37109375
2016-12-01,66424,67420.484375
2017-01-01,69803,69791.296875
2017-02-01,70599,72569.0
2017-03-01,74733,73223.75
2017-04-01,79149,75237.84375
2017-05-01,77649,76380.796875
2017-06-01,76784,75536.6328125
2017-07-01,77642,75421.671875
2017-08-01,77199,75580.2734375
2017-09-01,76231,75440.4609375
2017-10-01,75851,75172.5546875
2017-11-01,74129,75007.953125
2017-12-01,72874,74407.375
2018-01-01,74628,73897.0390625
2018-02-01,77434,74560.578125
2018-03-01,74480,75493.7265625
2018-04-01,75340,74507.75
2018-05-01,75206,74796.796875
2018-06-01,74427,74702.703125
2018-07-01,73846,74453.4765625
2018-08-01,76288,74226.046875
2018-09-01,74727,75065.0390625
2018-10-01,73669,74540.4453125
2018-11-01,73681,74213.0078125
2018-12-01,73181,74133.0234375
2019-01-01,72944,73993.6875
2019-02-01,73018,74125.984375
2019-03-01,73998,74209.890625
2019-04-01,,74425.2890625
2019-05-01,,74706.4140625
2019-06-01,,74898.09375
