,供给(元/㎡),forecast
2014-03-01,53852,53852.0
2014-04-01,52087,52087.0
2014-05-01,51355,51355.0
2014-06-01,49685,51024.49609375
2014-07-01,49001,49293.51171875
2014-08-01,48247,48506.28515625
2014-09-01,48364,48071.02734375
2014-10-01,48444,48528.91796875
2014-11-01,48322,48990.80078125
2014-12-01,48045,48753.0390625
2015-01-01,48755,48287.3984375
2015-02-01,49011,49430.9375
2015-03-01,48803,49957.5546875
2015-04-01,49093,49331.82421875
2015-05-01,50019,49657.29296875
2015-06-01,50565,51164.6484375
2015-07-01,50959,51867.0078125
2015-08-01,51210,52058.33984375
2015-09-01,51521,52199.51953125
2015-10-01,51886,52492.85546875
2015-11-01,52744,52926.58984375
2015-12-01,53347,54053.33984375
2016-01-01,54864,54777.84375
2016-02-01,56927,56593.41796875
2016-03-01,60683,59236.0859375
2016-04-01,62840,63711.375
2016-05-01,63651,65706.9453125
2016-06-01,65523,65547.390625
2016-07-01,67576,67239.1796875
2016-08-01,68904,69643.0390625
2016-09-01,73577,70991.3125
2016-10-01,75902,75907.828125
2016-11-01,78216,78914.296875
2016-12-01,80448,81396.8125
2017-01-01,83678,83868.4140625
2017-02-01,84622,86775.9921875
2017-03-01,89751,87841.8125
2017-04-01,95008,90239.703125
2017-05-01,92728,91980.609375
2017-06-01,90907,90015.1015625
2017-07-01,90978,88863.984375
2017-08-01,90551,89071.65625
2017-09-01,88982,89100.234375
2017-10-01,88205,88451.7109375
2017-11-01,86878,88147.6875
2017-12-01,87185,87734.875
2018-01-01,86425,87991.5234375
2018-02-01,88045,87858.40625
2018-03-01,86349,88596.7890625
2018-04-01,88186,87871.9296875
2018-05-01,89177,88501.7890625
2018-06-01,89599,89183.9375
2018-07-01,90600,89036.375
2018-08-01,89568,89333.0
2018-09-01,88657,88846.1484375
2018-10-01,89468,88343.8359375
2018-11-01,90095,88805.078125
2018-12-01,88040,89186.6640625
2019-01-01,87852,88217.1015625
2019-02-01,88264,88196.546875
2019-03-01,89612,88204.84375
2019-04-01,,89102.8359375
2019-05-01,,89196.1484375
2019-06-01,,89322.8046875
