,供给(元/㎡),forecast
2014-03-01,22828,22828.0
2014-04-01,22493,22493.0
2014-05-01,22022,22022.0
2014-06-01,21981,22740.087890625
2014-07-01,21550,22696.150390625
2014-08-01,21554,21984.900390625
2014-09-01,21080,22091.541015625
2014-10-01,21286,21316.8984375
2014-11-01,21009,21717.93359375
2014-12-01,20463,21123.5859375
2015-01-01,20124,20547.28125
2015-02-01,21155,20134.236328125
2015-03-01,21280,21421.66796875
2015-04-01,21696,21170.62109375
2015-05-01,21069,22048.974609375
2015-06-01,21607,21173.126953125
2015-07-01,22251,22197.99609375
2015-08-01,22785,22641.015625
2015-09-01,23046,23331.91796875
2015-10-01,23680,23740.11328125
2015-11-01,24110,24634.37109375
2015-12-01,24825,25069.484375
2016-01-01,26138,26016.873046875
2016-02-01,27357,27477.158203125
2016-03-01,29074,28701.638671875
2016-04-01,30985,30613.46484375
2016-05-01,31476,32450.06640625
2016-06-01,30948,32961.16015625
2016-07-01,32885,32892.5390625
2016-08-01,34447,34972.515625
2016-09-01,37428,35736.76171875
2016-10-01,39507,38403.37109375
2016-11-01,36138,39765.296875
2016-12-01,37108,37556.16015625
2017-01-01,36862,39334.6640625
2017-02-01,38982,38184.8046875
2017-03-01,42444,40122.4921875
2017-04-01,44766,42180.98046875
2017-05-01,41900,43582.4765625
2017-06-01,43156,42056.4296875
2017-07-01,47268,43716.44921875
2017-08-01,45659,45680.65234375
2017-09-01,44145,44312.62109375
2017-10-01,43295,44237.4609375
2017-11-01,43011,43617.296875
2017-12-01,42528,43287.61328125
2018-01-01,42129,42850.60546875
2018-02-01,39431,42597.4609375
2018-03-01,40955,40680.2265625
2018-04-01,43041,42133.7109375
2018-05-01,42439,42778.953125
2018-06-01,42297,42343.0546875
2018-07-01,42260,42731.5
2018-08-01,44179,42615.6953125
2018-09-01,42049,43898.21484375
2018-10-01,43204,42186.171875
2018-11-01,45876,43620.953125
2018-12-01,47143,44805.23046875
2019-01-01,47421,45402.921875
2019-02-01,47801,45236.78515625
2019-03-01,47954,45251.21484375
2019-04-01,,46360.29296875
2019-05-01,,45973.58984375
2019-06-01,,45805.53515625
