,供给(元/㎡),forecast
2014-03-01,24023,24023.0
2014-04-01,23545,23545.0
2014-05-01,22990,22990.0
2014-06-01,22886,22962.58984375
2014-07-01,22247,23096.333984375
2014-08-01,21354,21977.66015625
2014-09-01,20777,20881.234375
2014-10-01,21040,20447.427734375
2014-11-01,20685,21234.3359375
2014-12-01,20530,20303.662109375
2015-01-01,19787,20358.166015625
2015-02-01,19040,19120.880859375
2015-03-01,20381,18385.28515625
2015-04-01,20622,21338.12890625
2015-05-01,21189,20466.72265625
2015-06-01,21744,21472.380859375
2015-07-01,22083,22018.150390625
2015-08-01,22167,22256.8671875
2015-09-01,22139,22229.44921875
2015-10-01,22108,22172.23046875
2015-11-01,22170,22153.65234375
2015-12-01,22077,22280.8984375
2016-01-01,22022,22066.212890625
2016-02-01,22902,22051.966796875
2016-03-01,24290,23619.341796875
2016-04-01,24366,25332.12890625
2016-05-01,25726,24595.775390625
2016-06-01,25536,27101.6015625
2016-07-01,25991,25884.498046875
2016-08-01,27685,26999.748046875
2016-09-01,30574,29488.9453125
2016-10-01,34046,33192.3125
2016-11-01,36508,37149.29296875
2016-12-01,38501,39350.80859375
2017-01-01,38214,41231.55078125
2017-02-01,40857,40389.33203125
2017-03-01,43982,43204.6640625
2017-04-01,47895,45547.71484375
2017-05-01,47963,47506.12890625
2017-06-01,49397,46556.08984375
2017-07-01,48570,47769.40234375
2017-08-01,45937,47133.5234375
2017-09-01,45035,45874.890625
2017-10-01,45318,45206.140625
2017-11-01,47285,45085.296875
2017-12-01,44659,46435.265625
2018-01-01,42165,44417.234375
2018-02-01,42590,43062.51171875
2018-03-01,43465,43229.66796875
2018-04-01,43587,43907.83203125
2018-05-01,42820,43854.078125
2018-06-01,43321,43222.4609375
2018-07-01,45232,43714.515625
2018-08-01,44171,45214.87109375
2018-09-01,41528,44099.51953125
2018-10-01,41537,42317.2265625
2018-11-01,42344,42422.3671875
2018-12-01,41137,43218.80078125
2019-01-01,40369,41989.76953125
2019-02-01,42564,42380.90234375
2019-03-01,40553,42514.71875
2019-04-01,,41522.98046875
2019-05-01,,42083.5625
2019-06-01,,42402.15625
