,供给(元/㎡),forecast
2014-03-01,23565,23565.0
2014-04-01,22728,22728.0
2014-05-01,22736,22736.0
2014-06-01,22352,23124.4765625
2014-07-01,22156,22874.638671875
2014-08-01,21784,22533.107421875
2014-09-01,21674,22145.865234375
2014-10-01,21907,21921.9296875
2014-11-01,22087,22167.3125
2014-12-01,21653,22453.017578125
2015-01-01,21598,22054.462890625
2015-02-01,21577,21805.619140625
2015-03-01,21699,21827.58984375
2015-04-01,21765,21949.599609375
2015-05-01,22257,22065.767578125
2015-06-01,22021,22564.927734375
2015-07-01,21891,22506.904296875
2015-08-01,22030,22214.443359375
2015-09-01,21972,22338.162109375
2015-10-01,22339,22352.96484375
2015-11-01,22834,22676.0390625
2015-12-01,22821,23317.71875
2016-01-01,23005,23434.828125
2016-02-01,23909,23537.50390625
2016-03-01,25236,24504.29296875
2016-04-01,26052,26117.9921875
2016-05-01,27014,27241.234375
2016-06-01,27487,28243.37890625
2016-07-01,28604,28887.748046875
2016-08-01,29360,29957.412109375
2016-09-01,31237,30954.505859375
2016-10-01,33008,32780.0703125
2016-11-01,35932,34854.69921875
2016-12-01,37449,37708.20703125
2017-01-01,39061,39419.73828125
2017-02-01,39722,40602.58203125
2017-03-01,41232,41148.15234375
2017-04-01,45992,42243.1171875
2017-05-01,45166,46492.19140625
2017-06-01,46243,45579.75
2017-07-01,49521,45255.9921875
2017-08-01,50279,48273.21875
2017-09-01,49756,48338.69140625
2017-10-01,48377,46737.66796875
2017-11-01,45148,45427.6328125
2017-12-01,43873,43141.3359375
2018-01-01,44045,42611.5859375
2018-02-01,44019,43599.38671875
2018-03-01,42504,43911.80859375
2018-04-01,43724,42584.56640625
2018-05-01,44500,43542.28515625
2018-06-01,44627,44654.66015625
2018-07-01,44907,44481.84765625
2018-08-01,44833,44522.06640625
2018-09-01,43589,44430.54296875
2018-10-01,42469,43307.80078125
2018-11-01,43439,42337.41015625
2018-12-01,42929,43402.37109375
2019-01-01,43689,43298.25
2019-02-01,45164,43871.48828125
2019-03-01,43504,44340.31640625
2019-04-01,,43552.8515625
2019-05-01,,43841.015625
2019-06-01,,44027.23828125
