,供给(元/㎡),forecast
2014-03-01,8645,8645.0
2014-04-01,7724,7724.0
2014-05-01,8304,8304.0
2014-06-01,8689,8568.359375
2014-07-01,9625,9113.8642578125
2014-08-01,9527,9337.1396484375
2014-09-01,9824,9724.724609375
2014-10-01,9561,9767.0771484375
2014-11-01,9525,9848.6982421875
2014-12-01,9940,9603.2021484375
2015-01-01,10231,9843.5986328125
2015-02-01,8888,10441.9404296875
2015-03-01,9621,9500.74609375
2015-04-01,8553,8897.9697265625
2015-05-01,8786,8946.919921875
2015-06-01,9069,8769.2255859375
2015-07-01,8689,8972.38671875
2015-08-01,9718,8858.693359375
2015-09-01,8215,9129.962890625
2015-10-01,8977,8644.861328125
2015-11-01,8206,8506.615234375
2015-12-01,8022,8510.6162109375
2016-01-01,8678,8570.0009765625
2016-02-01,8455,8736.4541015625
2016-03-01,8351,8729.27734375
2016-04-01,8624,8584.85546875
2016-05-01,8126,8668.08984375
2016-06-01,8084,8449.255859375
2016-07-01,8609,8508.6201171875
2016-08-01,8344,8746.8173828125
2016-09-01,8564,8626.068359375
2016-10-01,9067,8640.47265625
2016-11-01,9304,8947.5029296875
2016-12-01,8959,9239.806640625
2017-01-01,8704,9140.4990234375
2017-02-01,9331,8923.150390625
2017-03-01,9707,9017.220703125
2017-04-01,10491,9657.974609375
2017-05-01,10745,10440.1318359375
2017-06-01,11059,11292.259765625
2017-07-01,12350,11447.521484375
2017-08-01,12534,12529.4267578125
2017-09-01,12508,12196.9091796875
2017-10-01,12087,12699.677734375
2017-11-01,11968,12450.1123046875
2017-12-01,12381,12163.818359375
2018-01-01,12550,12525.0693359375
2018-02-01,12017,12642.67578125
2018-03-01,12475,12361.9404296875
2018-04-01,12561,12311.7548828125
2018-05-01,12857,12624.8759765625
2018-06-01,12668,12946.8251953125
2018-07-01,13320,12785.8046875
2018-08-01,13773,13150.953125
2018-09-01,13539,13287.94921875
2018-10-01,13531,13282.423828125
2018-11-01,13197,13309.0927734375
2018-12-01,13324,13242.1103515625
2019-01-01,13083,13097.2646484375
2019-02-01,13023,13112.6396484375
2019-03-01,14093,13222.5205078125
2019-04-01,,13638.2587890625
2019-05-01,,13646.2802734375
2019-06-01,,13724.6484375
