,供给(元/㎡),forecast
2014-03-01,10116,10116.0
2014-04-01,9560,9560.0
2014-05-01,10213,10213.0
2014-06-01,9945,10408.7587890625
2014-07-01,9040,9871.05859375
2014-08-01,9054,8850.7216796875
2014-09-01,9072,9048.1025390625
2014-10-01,8581,9007.390625
2014-11-01,8893,8369.7412109375
2014-12-01,8953,8901.853515625
2015-01-01,9215,8876.05078125
2015-02-01,9279,9210.8701171875
2015-03-01,9037,9227.6416015625
2015-04-01,8941,8915.6728515625
2015-05-01,8846,8856.3701171875
2015-06-01,9148,8744.6875
2015-07-01,9425,9155.0478515625
2015-08-01,9669,9427.23828125
2015-09-01,9409,9683.310546875
2015-10-01,9449,9310.7216796875
2015-11-01,9494,9442.134765625
2015-12-01,9409,9470.94921875
2016-01-01,9326,9354.4609375
2016-02-01,8701,9272.4248046875
2016-03-01,8692,8485.447265625
2016-04-01,9498,8622.6748046875
2016-05-01,10334,9639.4765625
2016-06-01,10689,10485.5068359375
2016-07-01,10917,10766.3544921875
2016-08-01,11039,11042.259765625
2016-09-01,11597,11181.23046875
2016-10-01,11754,11857.947265625
2016-11-01,11628,11941.435546875
2016-12-01,12270,11838.2568359375
2017-01-01,12246,12645.5888671875
2017-02-01,12322,12465.5244140625
2017-03-01,13083,12661.759765625
2017-04-01,13519,13518.0498046875
2017-05-01,14339,13863.7861328125
2017-06-01,14646,14808.8828125
2017-07-01,16559,15044.0380859375
2017-08-01,17171,17110.25
2017-09-01,17136,17290.2109375
2017-10-01,17237,17529.767578125
2017-11-01,17255,17788.630859375
2017-12-01,16725,17769.0859375
2018-01-01,16997,17303.716796875
2018-02-01,17252,17696.943359375
2018-03-01,18315,17724.427734375
2018-04-01,18398,18684.259765625
2018-05-01,18057,18513.0703125
2018-06-01,18578,18475.97265625
2018-07-01,19647,19046.76171875
2018-08-01,20196,19691.31640625
2018-09-01,20436,19915.154296875
2018-10-01,20542,20201.181640625
2018-11-01,19768,20354.056640625
2018-12-01,19702,19799.15625
2019-01-01,20096,20050.23828125
2019-02-01,20834,20238.373046875
2019-03-01,20059,20315.859375
2019-04-01,,19813.80859375
2019-05-01,,19976.21484375
2019-06-01,,20029.2734375
