,供给(元/㎡),forecast
2014-03-01,26480,26480.0
2014-04-01,27152,27152.0
2014-05-01,27034,27034.0
2014-06-01,26875,27111.8984375
2014-07-01,26275,27105.064453125
2014-08-01,26168,26671.0859375
2014-09-01,26427,26407.666015625
2014-10-01,26545,26433.173828125
2014-11-01,26185,26558.5546875
2014-12-01,26564,26413.513671875
2015-01-01,27483,26567.65625
2015-02-01,27502,27175.869140625
2015-03-01,28503,27505.912109375
2015-04-01,27036,28295.0390625
2015-05-01,26913,27700.416015625
2015-06-01,26969,27408.67578125
2015-07-01,27853,27106.271484375
2015-08-01,27527,27639.888671875
2015-09-01,27940,27701.23828125
2015-10-01,27686,28035.046875
2015-11-01,27892,27933.87109375
2015-12-01,28815,28070.66796875
2016-01-01,29788,28637.703125
2016-02-01,29272,29540.142578125
2016-03-01,30432,29739.91015625
2016-04-01,31103,30517.75390625
2016-05-01,32057,31149.052734375
2016-06-01,32372,32248.49609375
2016-07-01,33773,32958.4765625
2016-08-01,33122,34187.3828125
2016-09-01,33565,34428.125
2016-10-01,35946,34968.77734375
2016-11-01,36391,36211.82421875
2016-12-01,38051,37480.13671875
2017-01-01,39276,39487.8984375
2017-02-01,40355,40878.48828125
2017-03-01,43770,42480.3359375
2017-04-01,44433,44788.08984375
2017-05-01,45649,46136.578125
2017-06-01,46005,47454.390625
2017-07-01,49786,47786.6640625
2017-08-01,50584,49135.06640625
2017-09-01,51109,49347.84375
2017-10-01,49149,49644.77734375
2017-11-01,48054,49158.828125
2017-12-01,47809,48968.4921875
2018-01-01,48153,48809.078125
2018-02-01,46745,48839.0546875
2018-03-01,49252,48430.30078125
2018-04-01,50080,49170.28125
2018-05-01,48789,49261.79296875
2018-06-01,49682,49040.32421875
2018-07-01,51236,49349.17578125
2018-08-01,51029,49669.21875
2018-09-01,49864,49593.11328125
2018-10-01,49968,49365.765625
2018-11-01,50282,49431.859375
2018-12-01,50451,49459.33984375
2019-01-01,52513,49495.8359375
2019-02-01,52074,49659.1640625
2019-03-01,52424,49819.02734375
2019-04-01,,49971.25
2019-05-01,,49910.0078125
2019-06-01,,49865.66015625
