,供给(元/㎡),forecast
2014-03-01,14259,14259.0
2014-04-01,14107,14107.0
2014-05-01,14305,14305.0
2014-06-01,13915,14464.560546875
2014-07-01,13410,14118.8369140625
2014-08-01,13859,13809.4306640625
2014-09-01,13670,14192.705078125
2014-10-01,14062,13960.255859375
2014-11-01,14129,14301.533203125
2014-12-01,13790,14274.7353515625
2015-01-01,14042,14038.1201171875
2015-02-01,14057,14283.1708984375
2015-03-01,14120,14229.154296875
2015-04-01,13426,14298.0546875
2015-05-01,14075,13763.2861328125
2015-06-01,14119,14361.1494140625
2015-07-01,14107,14258.69140625
2015-08-01,14480,14283.857421875
2015-09-01,13972,14580.291015625
2015-10-01,14440,14143.0859375
2015-11-01,14696,14619.3662109375
2015-12-01,14522,14686.7861328125
2016-01-01,14255,14642.4013671875
2016-02-01,14296,14511.130859375
2016-03-01,14264,14495.763671875
2016-04-01,15203,14413.0576171875
2016-05-01,15545,15178.13671875
2016-06-01,15469,15392.04296875
2016-07-01,15098,15704.75
2016-08-01,14577,15582.4951171875
2016-09-01,15581,15107.6982421875
2016-10-01,16189,15715.046875
2016-11-01,16171,16008.0791015625
2016-12-01,17260,16497.935546875
2017-01-01,17254,17758.357421875
2017-02-01,17968,17813.25390625
2017-03-01,18458,19216.91796875
2017-04-01,19183,19675.30078125
2017-05-01,21077,20859.17578125
2017-06-01,22755,22990.509765625
2017-07-01,24782,24324.853515625
2017-08-01,25390,24669.7734375
2017-09-01,25138,24635.4921875
2017-10-01,24134,24826.30859375
2017-11-01,23693,24164.50390625
2017-12-01,23083,23893.39453125
2018-01-01,25095,23303.20703125
2018-02-01,25631,25074.09765625
2018-03-01,25192,24843.87890625
2018-04-01,25707,24886.603515625
2018-05-01,25679,25497.654296875
2018-06-01,25886,25306.64453125
2018-07-01,26697,25579.8125
2018-08-01,26997,26228.46875
2018-09-01,26595,26341.67578125
2018-10-01,27317,26076.376953125
2018-11-01,26818,26739.16796875
2018-12-01,27183,26183.509765625
2019-01-01,26138,26608.0078125
2019-02-01,27743,26904.3828125
2019-03-01,27634,27213.345703125
2019-04-01,,26654.033203125
2019-05-01,,26612.98828125
2019-06-01,,26491.748046875
