,供给(元/㎡),forecast
2014-03-01,17157,17157.0
2014-04-01,17793,17793.0
2014-05-01,17426,17426.0
2014-06-01,17498,17550.947265625
2014-07-01,17259,17443.27734375
2014-08-01,17485,17341.53515625
2014-09-01,17470,17340.693359375
2014-10-01,17039,17419.060546875
2014-11-01,18000,17248.712890625
2014-12-01,17549,17480.73828125
2015-01-01,17521,17741.935546875
2015-02-01,17743,17626.1171875
2015-03-01,17258,17553.140625
2015-04-01,16787,17497.3125
2015-05-01,17085,17091.02734375
2015-06-01,17083,17277.3671875
2015-07-01,17690,17362.97265625
2015-08-01,17801,17466.337890625
2015-09-01,17488,17644.443359375
2015-10-01,17903,17704.701171875
2015-11-01,17640,17655.39453125
2015-12-01,17574,17795.83984375
2016-01-01,17644,17686.111328125
2016-02-01,17850,17564.578125
2016-03-01,17605,17687.544921875
2016-04-01,17312,17787.544921875
2016-05-01,17009,17516.03515625
2016-06-01,17356,17183.328125
2016-07-01,17369,17304.8671875
2016-08-01,16012,17386.384765625
2016-09-01,17127,16875.65234375
2016-10-01,17840,17586.359375
2016-11-01,17751,17778.23828125
2016-12-01,18566,17717.681640625
2017-01-01,18472,18237.390625
2017-02-01,19680,19420.490234375
2017-03-01,19951,20751.59375
2017-04-01,21488,22373.66015625
2017-05-01,22696,23214.0859375
2017-06-01,24144,24254.013671875
2017-07-01,25687,25111.04296875
2017-08-01,25633,26182.443359375
2017-09-01,27581,26658.880859375
2017-10-01,26284,27482.19140625
2017-11-01,27275,27403.994140625
2017-12-01,27559,27764.681640625
2018-01-01,26739,27872.96484375
2018-02-01,27322,27853.97265625
2018-03-01,27213,27909.560546875
2018-04-01,27755,27860.44140625
2018-05-01,29161,28123.212890625
2018-06-01,28407,28579.2734375
2018-07-01,29121,28451.9765625
2018-08-01,29710,28563.927734375
2018-09-01,28925,28719.10546875
2018-10-01,28297,28350.732421875
2018-11-01,27243,28256.205078125
2018-12-01,27805,28081.763671875
2019-01-01,28124,28226.005859375
2019-02-01,28764,28390.53125
2019-03-01,30151,28600.875
2019-04-01,,28914.078125
2019-05-01,,28755.232421875
2019-06-01,,28529.84375
