,供给(元/㎡),forecast
2014-03-01,8332,8332.0
2014-04-01,8377,8377.0
2014-05-01,8098,8098.0
2014-06-01,8329,8344.8154296875
2014-07-01,8468,8479.6376953125
2014-08-01,8099,8563.423828125
2014-09-01,8132,8350.482421875
2014-10-01,8132,8358.224609375
2014-11-01,8275,8343.47265625
2014-12-01,8456,8435.412109375
2015-01-01,8846,8555.328125
2015-02-01,8765,8820.416015625
2015-03-01,8940,8811.1650390625
2015-04-01,8737,8915.7763671875
2015-05-01,8667,8810.673828125
2015-06-01,8208,8735.7421875
2015-07-01,8503,8439.744140625
2015-08-01,8975,8595.16796875
2015-09-01,8699,8902.6484375
2015-10-01,9051,8786.748046875
2015-11-01,9016,8975.09765625
2015-12-01,8905,9007.9580078125
2016-01-01,9046,8933.5654296875
2016-02-01,8722,9003.3017578125
2016-03-01,9019,8819.82421875
2016-04-01,9103,8955.6513671875
2016-05-01,9368,9059.1953125
2016-06-01,9411,9253.2802734375
2016-07-01,9712,9360.86328125
2016-08-01,9490,9612.9189453125
2016-09-01,9519,9624.1416015625
2016-10-01,9342,9616.8291015625
2016-11-01,9936,9441.6142578125
2016-12-01,9794,9762.322265625
2017-01-01,9948,9947.037109375
2017-02-01,10425,10243.73046875
2017-03-01,10225,10618.6865234375
2017-04-01,11177,10966.75390625
2017-05-01,11658,11647.8837890625
2017-06-01,12106,12364.583984375
2017-07-01,12834,12551.9013671875
2017-08-01,13554,12974.5888671875
2017-09-01,13851,13471.796875
2017-10-01,13522,13837.0517578125
2017-11-01,13747,13905.984375
2017-12-01,13762,14002.0390625
2018-01-01,13899,13974.0712890625
2018-02-01,14558,14078.275390625
2018-03-01,15248,14349.3916015625
2018-04-01,14837,14703.396484375
2018-05-01,15091,14771.154296875
2018-06-01,15293,14954.076171875
2018-07-01,15545,14954.091796875
2018-08-01,15761,15071.6337890625
2018-09-01,15120,15158.6220703125
2018-10-01,15406,15025.408203125
2018-11-01,15053,15140.71484375
2018-12-01,14381,14940.318359375
2019-01-01,14959,14785.453125
2019-02-01,15518,14887.0751953125
2019-03-01,15493,14973.3603515625
2019-04-01,,15035.0673828125
2019-05-01,,15091.6728515625
2019-06-01,,15132.0859375
