,供给(元/㎡),forecast
2014-03-01,19945,19945.0
2014-04-01,20110,20110.0
2014-05-01,19402,19402.0
2014-06-01,20404,20222.318359375
2014-07-01,20056,20891.4296875
2014-08-01,19947,20604.15625
2014-09-01,21760,20514.515625
2014-10-01,21462,21666.978515625
2014-11-01,21693,21391.96875
2014-12-01,21361,21438.55078125
2015-01-01,20561,21231.052734375
2015-02-01,21134,20656.841796875
2015-03-01,21596,21086.3515625
2015-04-01,21045,21450.56640625
2015-05-01,21170,21027.3125
2015-06-01,20518,21069.767578125
2015-07-01,21126,20693.861328125
2015-08-01,22107,21108.052734375
2015-09-01,21186,21797.177734375
2015-10-01,21969,21148.32421875
2015-11-01,20994,21604.931640625
2015-12-01,20071,21002.322265625
2016-01-01,20868,20310.865234375
2016-02-01,20274,21005.015625
2016-03-01,21224,20655.88671875
2016-04-01,21353,21225.58203125
2016-05-01,21065,21309.919921875
2016-06-01,21112,21032.224609375
2016-07-01,21429,21054.35546875
2016-08-01,19786,21292.9453125
2016-09-01,21296,20201.189453125
2016-10-01,22474,21235.921875
2016-11-01,22593,22093.40234375
2016-12-01,23385,22250.345703125
2017-01-01,22849,23305.90625
2017-02-01,22467,23454.775390625
2017-03-01,22813,23342.404296875
2017-04-01,23885,22955.55078125
2017-05-01,25414,23892.841796875
2017-06-01,26608,26569.736328125
2017-07-01,28099,28673.869140625
2017-08-01,29659,29452.046875
2017-09-01,30887,30459.076171875
2017-10-01,32165,31362.458984375
2017-11-01,31429,32422.59765625
2017-12-01,32425,31945.060546875
2018-01-01,31702,33055.90625
2018-02-01,30559,32244.8359375
2018-03-01,31502,31747.8125
2018-04-01,33073,32377.486328125
2018-05-01,35959,33160.7890625
2018-06-01,35144,35063.4921875
2018-07-01,34706,34332.65234375
2018-08-01,35488,34782.05859375
2018-09-01,35366,35231.69140625
2018-10-01,35898,34951.2890625
2018-11-01,35191,35424.2890625
2018-12-01,35422,34871.9453125
2019-01-01,34150,35216.07421875
2019-02-01,35241,35378.0078125
2019-03-01,35628,35479.84375
2019-04-01,,35071.0
2019-05-01,,35095.18359375
2019-06-01,,35045.78125
