,供给(元/㎡),forecast
2014-03-01,16429,16429.0
2014-04-01,16379,16379.0
2014-05-01,15940,15940.0
2014-06-01,16287,16158.3935546875
2014-07-01,16096,16354.78125
2014-08-01,16100,16140.8603515625
2014-09-01,15872,16200.9990234375
2014-10-01,15897,15976.5341796875
2014-11-01,16007,15982.12109375
2014-12-01,15709,16039.4990234375
2015-01-01,14322,15807.724609375
2015-02-01,15336,14732.9541015625
2015-03-01,15227,15602.642578125
2015-04-01,15005,15459.3662109375
2015-05-01,14995,15255.7978515625
2015-06-01,15686,15276.5947265625
2015-07-01,15288,15831.04296875
2015-08-01,15277,15437.08203125
2015-09-01,14542,15463.70703125
2015-10-01,14989,14891.48828125
2015-11-01,15441,15332.5927734375
2015-12-01,15090,15668.1142578125
2016-01-01,15125,15306.322265625
2016-02-01,15369,15361.7412109375
2016-03-01,15773,15560.0361328125
2016-04-01,15637,15851.685546875
2016-05-01,15828,15711.4658203125
2016-06-01,16116,15887.2822265625
2016-07-01,16345,16105.7705078125
2016-08-01,16835,16313.640625
2016-09-01,17748,16784.701171875
2016-10-01,17418,17707.875
2016-11-01,17235,18122.193359375
2016-12-01,17797,18612.353515625
2017-01-01,18246,18645.990234375
2017-02-01,19564,19192.533203125
2017-03-01,21395,20994.712890625
2017-04-01,21787,23063.330078125
2017-05-01,24839,23361.98046875
2017-06-01,24774,24820.998046875
2017-07-01,25214,25157.302734375
2017-08-01,25948,25358.283203125
2017-09-01,25491,25813.208984375
2017-10-01,24518,25734.5625
2017-11-01,24820,25201.15234375
2017-12-01,25053,25122.498046875
2018-01-01,25407,25277.259765625
2018-02-01,25715,25509.759765625
2018-03-01,27430,25738.939453125
2018-04-01,27635,26658.708984375
2018-05-01,27250,27033.748046875
2018-06-01,26878,27018.1796875
2018-07-01,28725,26804.654296875
2018-08-01,28452,27551.279296875
2018-09-01,27462,27608.931640625
2018-10-01,28130,27365.818359375
2018-11-01,27184,27474.818359375
2018-12-01,26703,27058.787109375
2019-01-01,26515,26756.75390625
2019-02-01,26641,26698.3828125
2019-03-01,25704,26560.0859375
2019-04-01,,26051.755859375
2019-05-01,,26124.3359375
2019-06-01,,26120.73828125
