,供给(元/㎡),forecast
2014-03-01,23028,23028.0
2014-04-01,23782,23782.0
2014-05-01,23168,23168.0
2014-06-01,22244,24456.486328125
2014-07-01,21897,23954.619140625
2014-08-01,22656,22948.599609375
2014-09-01,21652,22613.453125
2014-10-01,23033,22563.693359375
2014-11-01,23459,22781.453125
2014-12-01,24502,23443.56640625
2015-01-01,24632,24793.828125
2015-02-01,24291,25711.095703125
2015-03-01,25379,26006.845703125
2015-04-01,26144,26275.5078125
2015-05-01,28482,27207.69140625
2015-06-01,32282,29011.09765625
2015-07-01,31780,32342.41015625
2015-08-01,34692,34436.1015625
2015-09-01,32191,35638.6328125
2015-10-01,30808,35646.19921875
2015-11-01,30560,33586.37890625
2015-12-01,39484,33093.23046875
2016-01-01,34545,37519.44140625
2016-02-01,43517,38123.97265625
2016-03-01,42296,40362.23828125
2016-04-01,41423,42811.11328125
2016-05-01,41139,41940.16015625
2016-06-01,39483,41713.9921875
2016-07-01,44005,40664.20703125
2016-08-01,38735,43144.359375
2016-09-01,41677,40016.98828125
2016-10-01,37827,39605.6484375
2016-11-01,35087,39708.734375
2016-12-01,33532,36640.60546875
2017-01-01,35191,35706.59375
2017-02-01,39857,36429.078125
2017-03-01,36438,39971.015625
2017-04-01,39201,38950.63671875
2017-05-01,38552,38951.85546875
2017-06-01,37601,40124.78125
2017-07-01,43493,39103.73046875
2017-08-01,45257,42556.84765625
2017-09-01,45537,44903.02734375
2017-10-01,43176,45413.65234375
2017-11-01,41630,43727.296875
2017-12-01,40301,41751.74609375
2018-01-01,44835,41039.50390625
2018-02-01,47350,43950.43359375
2018-03-01,48334,46519.25
2018-04-01,47057,47769.37890625
2018-05-01,45073,47048.22265625
2018-06-01,44616,44793.484375
2018-07-01,46770,44046.6875
2018-08-01,45026,46222.015625
2018-09-01,45779,45049.5546875
2018-10-01,43157,45020.734375
2018-11-01,46433,43726.54296875
2018-12-01,49059,44865.4453125
2019-01-01,48264,48147.984375
2019-02-01,50819,47897.3671875
2019-03-01,52542,46765.1953125
2019-04-01,,52043.890625
2019-05-01,,52727.5546875
2019-06-01,,52274.6015625
