,供给(元/㎡),forecast
2014-03-01,35330,35330.0
2014-04-01,35862,35862.0
2014-05-01,35670,35670.0
2014-06-01,34884,35181.75390625
2014-07-01,34916,34440.57421875
2014-08-01,34974,34533.87109375
2014-09-01,34571,33596.32421875
2014-10-01,35572,32789.40234375
2014-11-01,36025,35107.765625
2014-12-01,36850,34983.7578125
2015-01-01,36873,37598.6796875
2015-02-01,37225,37815.66796875
2015-03-01,38618,39299.21484375
2015-04-01,39619,41397.1796875
2015-05-01,42727,42536.0546875
2015-06-01,47520,47133.171875
2015-07-01,51870,50934.66015625
2015-08-01,52863,53329.21484375
2015-09-01,52987,54164.83203125
2015-10-01,52592,55386.640625
2015-11-01,53689,55368.6953125
2015-12-01,58266,56241.38671875
2016-01-01,59087,58861.36328125
2016-02-01,64117,58732.421875
2016-03-01,64284,63271.32421875
2016-04-01,63155,63195.796875
2016-05-01,65414,64039.3671875
2016-06-01,65281,65580.3515625
2016-07-01,67084,65133.3828125
2016-08-01,65606,66978.78125
2016-09-01,66535,66012.0
2016-10-01,64838,67091.4296875
2016-11-01,64061,65586.9375
2016-12-01,65207,65289.203125
2017-01-01,64864,65586.6484375
2017-02-01,66879,65137.140625
2017-03-01,66942,66782.2109375
2017-04-01,67295,66750.7578125
2017-05-01,65712,67579.375
2017-06-01,66056,66567.390625
2017-07-01,68849,66833.734375
2017-08-01,69210,68226.78125
2017-09-01,70176,68671.9140625
2017-10-01,69745,70170.8203125
2017-11-01,69933,70067.515625
2017-12-01,69049,70426.9765625
2018-01-01,71857,69735.828125
2018-02-01,70753,71576.6328125
2018-03-01,72051,70842.8671875
2018-04-01,69674,72393.1953125
2018-05-01,74001,70643.3671875
2018-06-01,74889,73633.828125
2018-07-01,77225,73994.65625
2018-08-01,76754,76955.40625
2018-09-01,76684,77262.5703125
2018-10-01,75202,77689.625
2018-11-01,75923,76582.7734375
2018-12-01,78401,76841.40625
2019-01-01,78509,78229.046875
2019-02-01,78860,78330.46875
2019-03-01,79200,78479.171875
2019-04-01,,79991.3671875
2019-05-01,,79928.3359375
2019-06-01,,80020.71875
