,供给(元/㎡),forecast
2014-03-01,39047,39047.0
2014-04-01,40194,40194.0
2014-05-01,40211,40211.0
2014-06-01,40066,39845.3984375
2014-07-01,39675,40201.9453125
2014-08-01,40389,39854.91015625
2014-09-01,41065,40021.12890625
2014-10-01,41313,40779.625
2014-11-01,40195,41628.80078125
2014-12-01,42086,41312.35546875
2015-01-01,41737,41926.125
2015-02-01,42944,42454.3125
2015-03-01,41821,43652.6796875
2015-04-01,42357,43547.28515625
2015-05-01,41753,43637.203125
2015-06-01,42883,43192.1484375
2015-07-01,43449,43716.94921875
2015-08-01,44561,44503.34375
2015-09-01,45536,45833.48046875
2015-10-01,45926,47148.9140625
2015-11-01,46964,48182.3984375
2015-12-01,48765,49202.953125
2016-01-01,50257,50724.59765625
2016-02-01,52444,52518.4609375
2016-03-01,58342,54579.08203125
2016-04-01,57580,58253.13671875
2016-05-01,58247,60357.26171875
2016-06-01,58987,61534.14453125
2016-07-01,60244,61853.0546875
2016-08-01,62643,62653.8203125
2016-09-01,64207,63986.5625
2016-10-01,65418,65408.85546875
2016-11-01,66223,66652.8984375
2016-12-01,68095,67501.0
2017-01-01,67081,68478.3359375
2017-02-01,67694,68799.4140625
2017-03-01,68936,69060.9921875
2017-04-01,70517,69382.4765625
2017-05-01,70233,70232.484375
2017-06-01,70749,70748.1953125
2017-07-01,70776,71097.9375
2017-08-01,71097,71175.8671875
2017-09-01,71174,71357.9609375
2017-10-01,70011,71457.4921875
2017-11-01,72550,71222.8203125
2017-12-01,72423,71639.8125
2018-01-01,72388,71985.953125
2018-02-01,71351,72385.125
2018-03-01,72821,72087.328125
2018-04-01,73284,72226.6640625
2018-05-01,72276,72498.5078125
2018-06-01,71374,72596.703125
2018-07-01,72142,72217.734375
2018-08-01,72801,72036.359375
2018-09-01,70964,72225.5078125
2018-10-01,70144,72032.09375
2018-11-01,71280,71510.078125
2018-12-01,70242,71297.4375
2019-01-01,70423,71141.6484375
2019-02-01,72909,71340.4609375
2019-03-01,73469,71514.75
2019-04-01,,72407.5
2019-05-01,,72459.1015625
2019-06-01,,72495.03125
