,供给(元/㎡),forecast
2014-03-01,17845,17845.0
2014-04-01,17922,17922.0
2014-05-01,18502,18502.0
2014-06-01,18067,18508.1796875
2014-07-01,18655,18344.259765625
2014-08-01,18142,18605.123046875
2014-09-01,18413,18448.732421875
2014-10-01,18330,18413.07421875
2014-11-01,18388,18505.82421875
2014-12-01,18238,18491.44921875
2015-01-01,18520,18396.099609375
2015-02-01,18243,18570.228515625
2015-03-01,18268,18462.2265625
2015-04-01,18220,18344.015625
2015-05-01,18611,18343.9140625
2015-06-01,19144,18654.849609375
2015-07-01,19043,19262.87890625
2015-08-01,19563,19345.734375
2015-09-01,19501,19704.814453125
2015-10-01,19773,19868.61328125
2015-11-01,19557,20052.845703125
2015-12-01,19723,19989.623046875
2016-01-01,20261,20033.89453125
2016-02-01,21379,20545.908203125
2016-03-01,22585,21676.576171875
2016-04-01,22681,23108.013671875
2016-05-01,24082,23793.529296875
2016-06-01,24638,25078.916015625
2016-07-01,26198,26080.046875
2016-08-01,27479,27667.029296875
2016-09-01,29180,29135.4765625
2016-10-01,30811,30735.205078125
2016-11-01,32619,32012.638671875
2016-12-01,32520,33057.85546875
2017-01-01,33403,33020.66015625
2017-02-01,34265,33403.41796875
2017-03-01,33722,33624.48828125
2017-04-01,33468,33332.27734375
2017-05-01,33472,33320.13671875
2017-06-01,32504,33346.75
2017-07-01,35051,33001.59765625
2017-08-01,35693,34020.14453125
2017-09-01,36322,33881.2109375
2017-10-01,35023,33929.86328125
2017-11-01,33677,33393.83984375
2017-12-01,32589,33196.2265625
2018-01-01,33281,33030.84375
2018-02-01,34129,33370.56640625
2018-03-01,33072,33590.51171875
2018-04-01,32643,33125.2890625
2018-05-01,32823,33101.69140625
2018-06-01,33377,33186.9765625
2018-07-01,34180,33366.2265625
2018-08-01,33158,33599.53125
2018-09-01,32579,33149.640625
2018-10-01,33061,33071.2890625
2018-11-01,33782,33281.8046875
2018-12-01,33361,33489.2578125
2019-01-01,33654,33264.546875
2019-02-01,33906,33399.65234375
2019-03-01,34076,33496.40625
2019-04-01,,33502.23828125
2019-05-01,,33549.0625
2019-06-01,,33571.38671875
