,供给(元/㎡),forecast
2014-03-01,26177,26177.0
2014-04-01,26811,26811.0
2014-05-01,27106,27106.0
2014-06-01,25937,26821.650390625
2014-07-01,27163,26019.263671875
2014-08-01,26266,27025.87890625
2014-09-01,26643,26001.712890625
2014-10-01,26349,26625.98828125
2014-11-01,26832,26076.9609375
2014-12-01,27156,26623.19921875
2015-01-01,27340,26943.943359375
2015-02-01,27601,27389.9609375
2015-03-01,26934,27806.314453125
2015-04-01,26977,27303.17578125
2015-05-01,27118,27286.388671875
2015-06-01,27799,27173.51171875
2015-07-01,27931,27875.712890625
2015-08-01,28612,28206.529296875
2015-09-01,28833,29121.26953125
2015-10-01,29463,29503.046875
2015-11-01,29094,30351.353515625
2015-12-01,29758,30196.93359375
2016-01-01,30984,30941.875
2016-02-01,32983,32005.876953125
2016-03-01,36466,34070.1796875
2016-04-01,36841,37384.01953125
2016-05-01,37073,38191.75390625
2016-06-01,37886,39120.05078125
2016-07-01,39058,39792.8359375
2016-08-01,40494,40667.4765625
2016-09-01,42233,41796.65234375
2016-10-01,43316,43135.28125
2016-11-01,45319,43989.87109375
2016-12-01,46036,45511.6484375
2017-01-01,46687,45951.84765625
2017-02-01,46613,46598.62890625
2017-03-01,46953,46588.02734375
2017-04-01,46929,46905.796875
2017-05-01,47372,46843.0234375
2017-06-01,46673,47173.8125
2017-07-01,48711,46681.4921875
2017-08-01,48250,48102.1484375
2017-09-01,48401,47480.609375
2017-10-01,48708,47913.86328125
2017-11-01,49236,48022.30859375
2017-12-01,49176,48332.2578125
2018-01-01,49966,48274.875
2018-02-01,49915,48837.36328125
2018-03-01,47206,48701.36328125
2018-04-01,47351,47153.23046875
2018-05-01,47862,47541.98828125
2018-06-01,48077,47470.25
2018-07-01,48257,47567.00390625
2018-08-01,47875,47726.36328125
2018-09-01,47113,47498.39453125
2018-10-01,46660,47090.4375
2018-11-01,46373,46835.359375
2018-12-01,46987,46594.234375
2019-01-01,47500,46949.49609375
2019-02-01,47024,47169.328125
2019-03-01,46614,47356.58203125
2019-04-01,,46763.015625
2019-05-01,,46978.29296875
2019-06-01,,47164.91796875
