,供给(元/㎡),forecast
2014-03-01,33056,33056.0
2014-04-01,33394,33394.0
2014-05-01,34699,34699.0
2014-06-01,34964,33527.01171875
2014-07-01,34176,34450.625
2014-08-01,34397,34822.46875
2014-09-01,36318,34663.5390625
2014-10-01,35089,35287.51171875
2014-11-01,34431,35752.7734375
2014-12-01,35400,35754.20703125
2015-01-01,37238,35304.9453125
2015-02-01,36809,36300.02734375
2015-03-01,33867,37408.03125
2015-04-01,35958,36751.69921875
2015-05-01,36255,36083.16015625
2015-06-01,38538,35866.89453125
2015-07-01,38939,37957.7109375
2015-08-01,39135,39299.3203125
2015-09-01,38690,40552.26171875
2015-10-01,41149,40630.2734375
2015-11-01,43364,41521.62109375
2015-12-01,43050,43255.51171875
2016-01-01,44245,45036.19921875
2016-02-01,47032,46236.12890625
2016-03-01,51162,47556.10546875
2016-04-01,49257,50379.765625
2016-05-01,51642,52145.79296875
2016-06-01,51693,53627.04296875
2016-07-01,54322,53747.19140625
2016-08-01,53818,55232.9296875
2016-09-01,55784,55860.05078125
2016-10-01,56469,56978.9140625
2016-11-01,57915,57503.5390625
2016-12-01,59545,58522.1328125
2017-01-01,60446,59368.62109375
2017-02-01,61679,60232.6484375
2017-03-01,60600,60992.29296875
2017-04-01,60681,61217.9375
2017-05-01,61173,61287.4375
2017-06-01,60912,61166.203125
2017-07-01,61984,61227.6640625
2017-08-01,61204,61463.23046875
2017-09-01,60305,61469.6640625
2017-10-01,62156,61393.640625
2017-11-01,64645,61390.23046875
2017-12-01,62032,61952.390625
2018-01-01,63315,62277.2109375
2018-02-01,62816,62498.83203125
2018-03-01,63267,62166.4453125
2018-04-01,62267,62382.8203125
2018-05-01,61692,62213.70703125
2018-06-01,61491,62046.48046875
2018-07-01,64128,61731.1796875
2018-08-01,62777,62015.453125
2018-09-01,61411,62193.125
2018-10-01,62476,62238.8046875
2018-11-01,61885,61939.61328125
2018-12-01,60662,61765.15625
2019-01-01,61438,61669.09375
2019-02-01,61957,61823.25
2019-03-01,61918,61937.15234375
2019-04-01,,61686.9296875
2019-05-01,,61854.36328125
2019-06-01,,61986.65625
