,供给(元/㎡),forecast
2014-03-01,44387,44387.0
2014-04-01,46160,46160.0
2014-05-01,45653,45653.0
2014-06-01,45990,45916.12890625
2014-07-01,46661,45827.1640625
2014-08-01,45633,46746.93359375
2014-09-01,46610,46247.45703125
2014-10-01,46070,46425.41015625
2014-11-01,46596,46633.07421875
2014-12-01,46428,46740.88671875
2015-01-01,46938,46966.5234375
2015-02-01,47243,47332.4375
2015-03-01,45557,47988.11328125
2015-04-01,46311,46635.796875
2015-05-01,47103,46097.27734375
2015-06-01,48877,47420.76953125
2015-07-01,49370,49634.56640625
2015-08-01,50878,51177.23828125
2015-09-01,52324,52703.2734375
2015-10-01,51970,54637.0
2015-11-01,53423,55025.0859375
2015-12-01,55363,55943.26171875
2016-01-01,57193,57897.93359375
2016-02-01,60098,59768.3046875
2016-03-01,66077,62116.46484375
2016-04-01,64623,66349.7890625
2016-05-01,66680,66663.015625
2016-06-01,67362,68196.3046875
2016-07-01,68010,68733.0234375
2016-08-01,71148,69468.9453125
2016-09-01,72406,71414.2734375
2016-10-01,73580,72665.6484375
2016-11-01,74410,74020.609375
2016-12-01,74418,74869.9140625
2017-01-01,73248,75195.1875
2017-02-01,75877,74681.9921875
2017-03-01,75039,76031.4453125
2017-04-01,76876,75668.2734375
2017-05-01,76644,77112.5234375
2017-06-01,77530,77042.3203125
2017-07-01,81295,77876.2421875
2017-08-01,80724,80133.2109375
2017-09-01,80859,80360.703125
2017-10-01,78560,80581.4296875
2017-11-01,80490,79231.578125
2017-12-01,79570,80283.6328125
2018-01-01,84190,79802.8359375
2018-02-01,84358,82519.890625
2018-03-01,84602,82711.2265625
2018-04-01,83680,82863.75
2018-05-01,83222,82318.546875
2018-06-01,83653,82040.8125
2018-07-01,83692,82293.7890625
2018-08-01,82861,82324.8515625
2018-09-01,81264,81830.0
2018-10-01,79702,80869.1328125
2018-11-01,79848,79911.7109375
2018-12-01,79753,79950.21875
2019-01-01,78461,79898.9453125
2019-02-01,81215,80154.4765625
2019-03-01,81082,80334.828125
2019-04-01,,80721.7734375
2019-05-01,,80865.46875
2019-06-01,,80922.875
