,供给(元/㎡),forecast
2014-03-01,37994,37994.0
2014-04-01,37502,37502.0
2014-05-01,36992,36992.0
2014-06-01,36099,37097.40625
2014-07-01,35357,35933.671875
2014-08-01,34068,34891.828125
2014-09-01,34094,33267.453125
2014-10-01,34256,33386.015625
2014-11-01,34157,34243.3984375
2014-12-01,33638,34109.4375
2015-01-01,33600,33252.3359375
2015-02-01,33291,33159.5546875
2015-03-01,33637,32944.43359375
2015-04-01,33847,33436.44140625
2015-05-01,34176,33945.0546875
2015-06-01,34652,34295.34375
2015-07-01,34469,34941.95703125
2015-08-01,34587,34589.22265625
2015-09-01,34727,34512.9375
2015-10-01,34655,34821.0234375
2015-11-01,35261,34683.67578125
2015-12-01,35245,35490.8359375
2016-01-01,35931,35593.08984375
2016-02-01,36351,36307.32421875
2016-03-01,38190,37022.0625
2016-04-01,39277,39382.16015625
2016-05-01,40036,40977.60546875
2016-06-01,41272,41517.2890625
2016-07-01,42316,42917.58203125
2016-08-01,43929,44277.71484375
2016-09-01,48324,46158.06640625
2016-10-01,50576,51401.35546875
2016-11-01,52003,54299.05078125
2016-12-01,55645,55573.91015625
2017-01-01,57308,58793.78125
2017-02-01,58725,60359.21875
2017-03-01,62436,60998.5390625
2017-04-01,65457,63004.14453125
2017-05-01,64565,64218.875
2017-06-01,62923,63126.6953125
2017-07-01,63413,61804.8828125
2017-08-01,61040,62132.2734375
2017-09-01,61037,61126.71875
2017-10-01,59999,60932.1171875
2017-11-01,58739,60749.73828125
2017-12-01,59459,59962.140625
2018-01-01,60146,60572.984375
2018-02-01,59768,61263.81640625
2018-03-01,58895,60884.515625
2018-04-01,60083,60213.67578125
2018-05-01,60127,61009.39453125
2018-06-01,59925,61215.22265625
2018-07-01,61162,60851.9609375
2018-08-01,61220,61581.4296875
2018-09-01,60737,61656.83203125
2018-10-01,59677,61161.8515625
2018-11-01,60396,60519.234375
2018-12-01,60165,60995.41796875
2019-01-01,59444,61078.12890625
2019-02-01,60033,61036.37890625
2019-03-01,60076,60936.8125
2019-04-01,,61073.05078125
2019-05-01,,61111.1953125
2019-06-01,,61083.90234375
