,供给(元/㎡),forecast
2014-03-01,54482,54482.0
2014-04-01,53650,53650.0
2014-05-01,52067,52067.0
2014-06-01,50311,51971.421875
2014-07-01,50383,50190.2734375
2014-08-01,50557,51010.7421875
2014-09-01,50043,50816.1484375
2014-10-01,51366,49983.0078125
2014-11-01,51354,52255.11328125
2014-12-01,50782,51315.43359375
2015-01-01,50561,50792.89453125
2015-02-01,50150,50816.98828125
2015-03-01,50452,50225.66796875
2015-04-01,51251,50863.2421875
2015-05-01,52410,51743.2578125
2015-06-01,53008,53009.0234375
2015-07-01,54253,53360.18359375
2015-08-01,54786,55078.03125
2015-09-01,54632,55242.75
2015-10-01,56499,54979.40625
2015-11-01,57103,57927.8671875
2015-12-01,58194,57660.71484375
2016-01-01,60144,59318.03515625
2016-02-01,63012,61677.37109375
2016-03-01,68786,65010.83203125
2016-04-01,72460,72355.2265625
2016-05-01,73747,75251.1171875
2016-06-01,75258,76161.296875
2016-07-01,77643,78061.7265625
2016-08-01,77142,80945.5625
2016-09-01,81661,79268.6953125
2016-10-01,86860,85925.0546875
2016-11-01,88700,91792.6328125
2016-12-01,92811,92430.40625
2017-01-01,97938,96500.8125
2017-02-01,99561,101843.3359375
2017-03-01,107075,102006.046875
2017-04-01,113645,107706.6640625
2017-05-01,111150,111716.9921875
2017-06-01,106882,107185.8984375
2017-07-01,105312,103942.8359375
2017-08-01,105570,103207.25
2017-09-01,100708,103912.28125
2017-10-01,100086,100493.390625
2017-11-01,100929,99069.1953125
2017-12-01,98621,100785.109375
2018-01-01,95890,98938.796875
2018-02-01,96274,95812.7734375
2018-03-01,94510,96524.96875
2018-04-01,95915,95532.203125
2018-05-01,96146,96847.5234375
2018-06-01,97563,97716.5078125
2018-07-01,96191,98809.125
2018-08-01,96587,97342.65625
2018-09-01,97389,97221.1796875
2018-10-01,95825,98543.359375
2018-11-01,98593,96814.9609375
2018-12-01,101221,99381.09375
2019-01-01,98064,102726.6640625
2019-02-01,105468,103970.765625
2019-03-01,105091,105009.296875
2019-04-01,,105539.7734375
2019-05-01,,105532.6953125
2019-06-01,,105326.84375
