,供给(元/㎡),forecast
2014-03-01,54607,54607.0
2014-04-01,53937,53937.0
2014-05-01,51799,51799.0
2014-06-01,51589,51807.03515625
2014-07-01,50302,51962.66015625
2014-08-01,49949,50596.9921875
2014-09-01,49872,50333.50390625
2014-10-01,50783,50549.6640625
2014-11-01,49801,51970.046875
2014-12-01,49075,50388.953125
2015-01-01,48809,49306.5625
2015-02-01,49558,49240.7109375
2015-03-01,49906,50539.83203125
2015-04-01,49632,50965.82421875
2015-05-01,50075,50355.04296875
2015-06-01,50619,50983.8515625
2015-07-01,51082,51755.29296875
2015-08-01,51442,52244.6484375
2015-09-01,51748,52577.1015625
2015-10-01,52358,52864.4765625
2015-11-01,53368,53621.19921875
2015-12-01,54379,54908.15234375
2016-01-01,55021,56054.4921875
2016-02-01,57527,56588.46875
2016-03-01,61372,59821.94921875
2016-04-01,65488,64610.046875
2016-05-01,66805,69055.8515625
2016-06-01,69002,69508.953125
2016-07-01,70422,71440.78125
2016-08-01,72087,72897.3984375
2016-09-01,77304,74549.3046875
2016-10-01,80115,80687.375
2016-11-01,83789,83876.4765625
2016-12-01,87572,87485.4453125
2017-01-01,89843,91422.453125
2017-02-01,91031,93411.2734375
2017-03-01,97271,93923.96875
2017-04-01,100699,98575.1171875
2017-05-01,102733,100680.0703125
2017-06-01,102272,100368.3203125
2017-07-01,99880,99438.484375
2017-08-01,101249,97343.7421875
2017-09-01,98153,98272.1015625
2017-10-01,99792,96524.90625
2017-11-01,96571,97308.2578125
2017-12-01,94084,95595.828125
2018-01-01,92325,93208.1953125
2018-02-01,94566,92365.9296875
2018-03-01,93512,94821.984375
2018-04-01,94658,94578.7734375
2018-05-01,96047,94742.546875
2018-06-01,95617,96226.140625
2018-07-01,96923,95507.984375
2018-08-01,96544,96147.2734375
2018-09-01,96148,95977.90625
2018-10-01,93381,95383.078125
2018-11-01,94757,93308.828125
2018-12-01,94075,94353.84375
2019-01-01,92893,94693.7421875
2019-02-01,95589,95154.4765625
2019-03-01,92087,95363.953125
2019-04-01,,93274.140625
2019-05-01,,93765.4609375
2019-06-01,,94033.1328125
