,供给(元/㎡),forecast
2014-03-01,25159,25159.0
2014-04-01,23595,23595.0
2014-05-01,23100,23100.0
2014-06-01,22556,22776.26953125
2014-07-01,22091,22546.279296875
2014-08-01,21476,21967.55078125
2014-09-01,21336,21253.140625
2014-10-01,21292,21104.294921875
2014-11-01,21353,21360.44140625
2014-12-01,20922,21516.791015625
2015-01-01,21079,20958.125
2015-02-01,21164,21012.603515625
2015-03-01,21455,21445.275390625
2015-04-01,21861,21780.34765625
2015-05-01,21643,22370.94140625
2015-06-01,21848,22016.005859375
2015-07-01,22080,21996.244140625
2015-08-01,21927,22498.916015625
2015-09-01,21357,22246.626953125
2015-10-01,21655,21292.88671875
2015-11-01,21841,21604.064453125
2015-12-01,21831,22283.5859375
2016-01-01,22329,22151.587890625
2016-02-01,22693,22717.9765625
2016-03-01,22752,23353.998046875
2016-04-01,23934,23277.005859375
2016-05-01,24305,24631.755859375
2016-06-01,24873,25419.91796875
2016-07-01,26129,25713.80859375
2016-08-01,27139,27219.2109375
2016-09-01,29284,28554.40234375
2016-10-01,30583,30724.560546875
2016-11-01,31722,32430.255859375
2016-12-01,34154,33585.390625
2017-01-01,35624,35642.734375
2017-02-01,35496,37172.55078125
2017-03-01,38365,37501.8203125
2017-04-01,40660,38796.33203125
2017-05-01,40089,39944.3046875
2017-06-01,40595,39865.71484375
2017-07-01,40335,39975.25
2017-08-01,39430,39935.421875
2017-09-01,40004,39620.46875
2017-10-01,40010,39725.97265625
2017-11-01,39619,39787.12890625
2017-12-01,39743,39654.91796875
2018-01-01,39560,39657.94921875
2018-02-01,39248,39609.69921875
2018-03-01,39022,39482.9296875
2018-04-01,39444,39371.90625
2018-05-01,39974,39500.74609375
2018-06-01,40752,39727.3203125
2018-07-01,39809,40024.9921875
2018-08-01,40942,39781.05859375
2018-09-01,40742,40062.48046875
2018-10-01,41895,40087.95703125
2018-11-01,41692,40421.80859375
2018-12-01,41355,40436.3203125
2019-01-01,40608,40315.97265625
2019-02-01,41200,40324.6328125
2019-03-01,41793,40322.83984375
2019-04-01,,40421.21875
2019-05-01,,40496.8984375
2019-06-01,,40562.70703125
