,供给(元/㎡),forecast
2014-03-01,37110,37110.0
2014-04-01,35911,35911.0
2014-05-01,35461,35461.0
2014-06-01,33863,35273.1015625
2014-07-01,33215,33307.45703125
2014-08-01,32141,32787.08203125
2014-09-01,32134,31702.333984375
2014-10-01,33113,32125.857421875
2014-11-01,33283,33815.4921875
2014-12-01,33056,33752.1171875
2015-01-01,32921,33191.6796875
2015-02-01,32492,33023.34375
2015-03-01,32832,32462.55859375
2015-04-01,32559,33128.92578125
2015-05-01,32908,32690.91796875
2015-06-01,33118,33239.44921875
2015-07-01,33206,33496.3515625
2015-08-01,33097,33502.44140625
2015-09-01,32507,33274.46875
2015-10-01,32633,32406.751953125
2015-11-01,32902,32790.015625
2015-12-01,32827,33266.1328125
2016-01-01,33986,33047.453125
2016-02-01,35210,34773.01171875
2016-03-01,36205,36265.23828125
2016-04-01,37285,37192.51171875
2016-05-01,38147,38306.6953125
2016-06-01,39088,39144.34375
2016-07-01,39759,40129.69921875
2016-08-01,41777,40772.55078125
2016-09-01,45372,43348.2109375
2016-10-01,48387,47601.5546875
2016-11-01,47190,50500.8046875
2016-12-01,50164,50117.8828125
2017-01-01,52753,53124.1171875
2017-02-01,55739,57063.78515625
2017-03-01,60457,59570.43359375
2017-04-01,64493,60772.05078125
2017-05-01,62990,62165.85546875
2017-06-01,60643,61663.109375
2017-07-01,61234,61113.04296875
2017-08-01,60199,59628.12109375
2017-09-01,61859,58887.67578125
2017-10-01,58840,59298.015625
2017-11-01,57018,58466.53515625
2017-12-01,55776,56491.0625
2018-01-01,55071,54965.171875
2018-02-01,53599,54365.89453125
2018-03-01,56307,53602.80859375
2018-04-01,56306,55317.59765625
2018-05-01,56351,57073.28515625
2018-06-01,55876,55553.484375
2018-07-01,55342,55279.1953125
2018-08-01,55295,54760.71875
2018-09-01,52168,54717.4765625
2018-10-01,53448,52958.66796875
2018-11-01,52120,52787.640625
2018-12-01,56490,54182.34765625
2019-01-01,52575,56307.76953125
2019-02-01,53061,56508.8984375
2019-03-01,54517,56595.32421875
2019-04-01,,55686.3203125
2019-05-01,,56080.2265625
2019-06-01,,56366.0
