,供给(元/㎡),forecast
2014-03-01,68454,68454.0
2014-04-01,66521,66521.0
2014-05-01,65931,65931.0
2014-06-01,65974,66881.2265625
2014-07-01,66431,66800.8125
2014-08-01,65844,67320.6171875
2014-09-01,65353,66661.4765625
2014-10-01,65034,66051.9140625
2014-11-01,64785,65599.8203125
2014-12-01,65315,65246.98046875
2015-01-01,66605,65837.8046875
2015-02-01,67293,67419.6953125
2015-03-01,68697,68365.6953125
2015-04-01,68692,70124.15625
2015-05-01,70006,70197.078125
2015-06-01,71272,71791.6640625
2015-07-01,73872,73289.8046875
2015-08-01,74708,76348.546875
2015-09-01,75141,77213.4609375
2015-10-01,77530,77688.15625
2015-11-01,77494,80416.3203125
2015-12-01,78831,80121.4140625
2016-01-01,81979,81665.5078125
2016-02-01,85854,85085.5234375
2016-03-01,91304,88979.875
2016-04-01,92599,94355.7109375
2016-05-01,94877,94658.828125
2016-06-01,95096,97152.5390625
2016-07-01,95348,97221.3203125
2016-08-01,96869,97808.234375
2016-09-01,101867,99435.8828125
2016-10-01,107297,104667.9609375
2016-11-01,107339,110595.9609375
2016-12-01,113698,113449.265625
2017-01-01,116430,120888.3125
2017-02-01,123019,122868.2265625
2017-03-01,129426,126437.7109375
2017-04-01,129040,128408.2265625
2017-05-01,129484,126476.0390625
2017-06-01,126075,126349.96875
2017-07-01,124558,124771.8515625
2017-08-01,124085,124385.4609375
2017-09-01,124167,124547.875
2017-10-01,123392,124755.4921875
2017-11-01,121487,124406.046875
2017-12-01,123812,123561.6796875
2018-01-01,124346,124991.15625
2018-02-01,125138,125126.671875
2018-03-01,124522,125254.6328125
2018-04-01,123414,124816.75
2018-05-01,124090,124298.484375
2018-06-01,125097,124799.75
2018-07-01,123214,125299.96875
2018-08-01,128532,124209.5546875
2018-09-01,130333,126939.3046875
2018-10-01,129870,127215.171875
2018-11-01,129773,126426.3828125
2018-12-01,127624,126339.1171875
2019-01-01,124563,125402.5859375
2019-02-01,128002,125147.9375
2019-03-01,132486,125121.7109375
2019-04-01,,128218.390625
2019-05-01,,127712.5859375
2019-06-01,,127341.3984375
