,供给(元/㎡),forecast
2014-03-01,10078,10078.0
2014-04-01,10229,10229.0
2014-05-01,10235,10235.0
2014-06-01,9855,10489.16796875
2014-07-01,9960,10185.5361328125
2014-08-01,9579,10179.1220703125
2014-09-01,9436,9724.44140625
2014-10-01,9487,9525.1611328125
2014-11-01,9750,9435.05078125
2014-12-01,9932,9663.2119140625
2015-01-01,9163,9906.1787109375
2015-02-01,9224,9295.8212890625
2015-03-01,10026,9219.8515625
2015-04-01,9094,9828.9208984375
2015-05-01,9564,9107.09375
2015-06-01,9424,9552.0908203125
2015-07-01,9309,9291.7431640625
2015-08-01,9853,9259.8076171875
2015-09-01,9347,9725.34375
2015-10-01,9623,9326.5703125
2015-11-01,9551,9616.482421875
2015-12-01,9401,9479.7392578125
2016-01-01,9388,9389.8701171875
2016-02-01,9000,9326.6171875
2016-03-01,9440,8921.404296875
2016-04-01,9829,9264.1142578125
2016-05-01,9888,9643.4189453125
2016-06-01,9936,9869.6181640625
2016-07-01,10138,10035.890625
2016-08-01,9929,10258.4892578125
2016-09-01,10555,10127.587890625
2016-10-01,10931,10734.4736328125
2016-11-01,11032,11196.3876953125
2016-12-01,10633,11620.4619140625
2017-01-01,10880,11430.80078125
2017-02-01,12227,11574.845703125
2017-03-01,13125,12775.404296875
2017-04-01,14829,14043.7744140625
2017-05-01,15351,16014.01953125
2017-06-01,15950,16475.638671875
2017-07-01,17010,16870.345703125
2017-08-01,17295,17571.65234375
2017-09-01,17576,17621.66796875
2017-10-01,17138,17802.6015625
2017-11-01,16942,17513.3203125
2017-12-01,16884,17391.578125
2018-01-01,16590,17312.87109375
2018-02-01,16363,17111.48828125
2018-03-01,17877,16982.703125
2018-04-01,17933,18136.05078125
2018-05-01,18254,17995.47265625
2018-06-01,18279,18392.294921875
2018-07-01,19146,18418.947265625
2018-08-01,19322,19092.19921875
2018-09-01,19062,19224.37890625
2018-10-01,18993,19150.0078125
2018-11-01,18541,19116.650390625
2018-12-01,18680,18755.80859375
2019-01-01,18625,18838.09375
2019-02-01,18867,18850.76953125
2019-03-01,18084,18769.6796875
2019-04-01,,18370.41015625
2019-05-01,,18397.10546875
2019-06-01,,18340.486328125
