,供给(元/㎡),forecast
2014-03-01,23071,23071.0
2014-04-01,23514,23514.0
2014-05-01,23085,23085.0
2014-06-01,23367,23113.712890625
2014-07-01,23386,23266.912109375
2014-08-01,22949,23242.37890625
2014-09-01,23449,23082.56640625
2014-10-01,23527,23231.015625
2014-11-01,23719,23310.26171875
2014-12-01,23604,23595.78125
2015-01-01,23581,23616.923828125
2015-02-01,23554,23624.322265625
2015-03-01,24031,23565.794921875
2015-04-01,23134,23825.240234375
2015-05-01,23219,23459.48046875
2015-06-01,23030,23356.44140625
2015-07-01,23648,23004.380859375
2015-08-01,23907,23322.591796875
2015-09-01,23175,23618.98046875
2015-10-01,24009,23470.599609375
2015-11-01,23756,23786.125
2015-12-01,24057,23694.017578125
2016-01-01,24467,24040.296875
2016-02-01,23765,24300.876953125
2016-03-01,24505,24128.150390625
2016-04-01,24890,24449.0859375
2016-05-01,24497,24702.693359375
2016-06-01,25102,24845.462890625
2016-07-01,25894,25190.73046875
2016-08-01,25555,25739.087890625
2016-09-01,26544,26030.115234375
2016-10-01,27740,26781.224609375
2016-11-01,27448,27745.7734375
2016-12-01,27852,28419.099609375
2017-01-01,28859,29056.21875
2017-02-01,29696,29708.041015625
2017-03-01,31369,30817.55859375
2017-04-01,32199,32666.435546875
2017-05-01,34178,34217.5859375
2017-06-01,34687,36355.0390625
2017-07-01,37794,37318.3515625
2017-08-01,39616,39468.328125
2017-09-01,40686,40409.46484375
2017-10-01,41106,40941.6875
2017-11-01,39968,41224.33984375
2017-12-01,39601,40708.6875
2018-01-01,39436,40808.6875
2018-02-01,39985,40587.90234375
2018-03-01,40373,40854.34765625
2018-04-01,41069,40938.08984375
2018-05-01,42254,41331.1328125
2018-06-01,41621,41906.46484375
2018-07-01,42556,41422.1640625
2018-08-01,43143,42338.3046875
2018-09-01,42258,42294.75390625
2018-10-01,41686,41817.05859375
2018-11-01,40791,41857.24609375
2018-12-01,41445,41326.0859375
2019-01-01,42109,41784.875
2019-02-01,41495,41801.43359375
2019-03-01,41434,41754.0625
2019-04-01,,41705.82421875
2019-05-01,,41705.61328125
2019-06-01,,41644.35546875
