,供给(元/㎡),forecast
2014-03-01,14485,14485.0
2014-04-01,13868,13868.0
2014-05-01,14542,14542.0
2014-06-01,13701,14763.8125
2014-07-01,13263,13962.0625
2014-08-01,13961,13764.2392578125
2014-09-01,14875,14156.330078125
2014-10-01,14519,14712.7578125
2014-11-01,13869,14505.8095703125
2014-12-01,13739,14303.8935546875
2015-01-01,13720,14137.212890625
2015-02-01,14686,14005.1728515625
2015-03-01,15073,14706.5
2015-04-01,14768,14855.486328125
2015-05-01,14587,14869.7021484375
2015-06-01,14075,14893.5126953125
2015-07-01,14512,14431.2431640625
2015-08-01,14687,14754.1904296875
2015-09-01,12620,14712.341796875
2015-10-01,13742,13321.533203125
2015-11-01,14118,14157.724609375
2015-12-01,14746,14078.7607421875
2016-01-01,15901,14716.84375
2016-02-01,15680,15572.6845703125
2016-03-01,14301,15340.81640625
2016-04-01,14703,14842.021484375
2016-05-01,14925,15227.322265625
2016-06-01,15448,14923.546875
2016-07-01,16115,15408.8359375
2016-08-01,15742,15878.5224609375
2016-09-01,18455,15648.6396484375
2016-10-01,19292,18362.873046875
2016-11-01,17453,16993.654296875
2016-12-01,18166,18167.361328125
2017-01-01,20152,20508.482421875
2017-02-01,20301,19750.298828125
2017-03-01,19090,19367.037109375
2017-04-01,21284,21093.32421875
2017-05-01,24276,23832.388671875
2017-06-01,22596,23272.263671875
2017-07-01,22442,22462.630859375
2017-08-01,21325,21052.33984375
2017-09-01,21439,20814.42578125
2017-10-01,20448,21022.796875
2017-11-01,21453,22172.859375
2017-12-01,21444,23221.53515625
2018-01-01,22987,22917.177734375
2018-02-01,26498,24706.916015625
2018-03-01,28464,27444.25390625
2018-04-01,27200,26899.23828125
2018-05-01,27025,27194.45703125
2018-06-01,26533,27762.78515625
2018-07-01,28321,27440.185546875
2018-08-01,30298,29720.765625
2018-09-01,29933,30624.923828125
2018-10-01,30388,29168.03515625
2018-11-01,29192,28436.384765625
2018-12-01,27985,27412.990234375
2019-01-01,26892,26272.525390625
2019-02-01,25768,25822.87109375
2019-03-01,26214,25824.662109375
2019-04-01,,27191.435546875
2019-05-01,,28221.359375
2019-06-01,,28977.02734375
