,供给(元/㎡),forecast
2014-03-01,28098,28098.0
2014-04-01,28176,28176.0
2014-05-01,28101,28101.0
2014-06-01,28328,28665.34375
2014-07-01,29091,28811.494140625
2014-08-01,28508,29228.783203125
2014-09-01,28371,28807.517578125
2014-10-01,28833,28861.708984375
2014-11-01,28949,29084.451171875
2014-12-01,29073,29096.970703125
2015-01-01,29728,29221.458984375
2015-02-01,29580,29631.892578125
2015-03-01,30076,29580.474609375
2015-04-01,28664,30077.14453125
2015-05-01,29585,29215.966796875
2015-06-01,28677,29829.77734375
2015-07-01,29616,28937.02734375
2015-08-01,30180,29707.3984375
2015-09-01,29155,29844.71484375
2015-10-01,28814,29541.392578125
2015-11-01,29295,29439.048828125
2015-12-01,30865,29417.109375
2016-01-01,30888,30283.90625
2016-02-01,29937,30559.455078125
2016-03-01,29994,30810.478515625
2016-04-01,30664,30618.125
2016-05-01,29888,30565.046875
2016-06-01,30747,30234.078125
2016-07-01,31681,30943.103515625
2016-08-01,31035,31286.75
2016-09-01,31531,31639.37890625
2016-10-01,32345,32378.021484375
2016-11-01,33013,32575.712890625
2016-12-01,34234,33628.09765625
2017-01-01,35333,35250.6875
2017-02-01,37167,36907.93359375
2017-03-01,39600,39199.2734375
2017-04-01,41364,41628.02734375
2017-05-01,42302,43979.265625
2017-06-01,43767,45834.3203125
2017-07-01,48461,47155.60546875
2017-08-01,50099,48811.609375
2017-09-01,50916,49996.1796875
2017-10-01,50806,51073.03515625
2017-11-01,50870,51324.15625
2017-12-01,51227,51438.0234375
2018-01-01,52275,51444.203125
2018-02-01,51516,51506.58984375
2018-03-01,51846,51503.91015625
2018-04-01,51972,51633.5234375
2018-05-01,53191,51558.38671875
2018-06-01,51581,51633.0703125
2018-07-01,52308,51566.51171875
2018-08-01,52254,51735.24609375
2018-09-01,52943,51568.8515625
2018-10-01,52880,51660.48828125
2018-11-01,52093,51637.0234375
2018-12-01,51311,51677.359375
2019-01-01,49582,51663.47265625
2019-02-01,51858,51817.0390625
2019-03-01,52907,51933.83203125
2019-04-01,,51379.375
2019-05-01,,51598.43359375
2019-06-01,,51771.59765625
