,供给(元/㎡),forecast
2014-03-01,36825,36825.0
2014-04-01,36008,36008.0
2014-05-01,35299,35299.0
2014-06-01,34296,36800.61328125
2014-07-01,33976,34369.8828125
2014-08-01,34387,33078.75390625
2014-09-01,34469,33690.45703125
2014-10-01,34776,33986.46875
2014-11-01,35520,34701.6328125
2014-12-01,36316,36359.3984375
2015-01-01,36267,38128.921875
2015-02-01,36822,38288.484375
2015-03-01,38211,39429.296875
2015-04-01,39842,41859.4375
2015-05-01,42912,44506.07421875
2015-06-01,51228,48593.06640625
2015-07-01,53523,56369.9140625
2015-08-01,54615,55411.21484375
2015-09-01,55099,57488.83984375
2015-10-01,54034,58215.71875
2015-11-01,54670,57810.8828125
2015-12-01,60900,58530.421875
2016-01-01,62632,61760.1484375
2016-02-01,67128,61704.75390625
2016-03-01,68058,66331.28125
2016-04-01,68634,67083.8125
2016-05-01,68578,69254.9375
2016-06-01,67405,69576.3984375
2016-07-01,69124,69112.3359375
2016-08-01,69000,70185.125
2016-09-01,71015,69526.546875
2016-10-01,70839,71463.71875
2016-11-01,69171,71220.65625
2016-12-01,69596,71063.1953125
2017-01-01,71119,71311.71875
2017-02-01,72268,71519.9453125
2017-03-01,72160,72335.5
2017-04-01,71570,72896.1328125
2017-05-01,71600,73022.75
2017-06-01,73151,73009.59375
2017-07-01,73587,73710.546875
2017-08-01,75368,73958.390625
2017-09-01,76883,75719.8125
2017-10-01,77021,76838.1875
2017-11-01,78094,77697.109375
2017-12-01,77557,79008.328125
2018-01-01,78972,78735.1640625
2018-02-01,80861,80064.4140625
2018-03-01,79628,81069.7421875
2018-04-01,82631,80884.96875
2018-05-01,82573,83521.125
2018-06-01,85011,83069.4765625
2018-07-01,85039,85671.453125
2018-08-01,87366,85648.953125
2018-09-01,87232,87922.0078125
2018-10-01,83344,87829.71875
2018-11-01,85923,85912.9296875
2018-12-01,86363,87625.5
2019-01-01,87881,86752.078125
2019-02-01,90716,87297.734375
2019-03-01,91385,87818.0703125
2019-04-01,,91310.0546875
2019-05-01,,91734.6484375
2019-06-01,,92150.3125
