,供给(元/㎡),forecast
2014-03-01,27383,27383.0
2014-04-01,28570,28570.0
2014-05-01,27584,27584.0
2014-06-01,26982,30469.4765625
2014-07-01,25208,29014.958984375
2014-08-01,26959,26002.05859375
2014-09-01,25419,30093.849609375
2014-10-01,24386,26715.837890625
2014-11-01,24942,23126.7109375
2014-12-01,25430,25884.443359375
2015-01-01,26277,26822.84375
2015-02-01,27008,29055.056640625
2015-03-01,27137,30442.40234375
2015-04-01,27011,30503.74609375
2015-05-01,31160,30090.9140625
2015-06-01,43067,38608.17578125
2015-07-01,43157,40503.64453125
2015-08-01,37155,37256.8203125
2015-09-01,38390,39886.3125
2015-10-01,37352,39508.77734375
2015-11-01,37302,39103.08984375
2015-12-01,43856,38186.03125
2016-01-01,40434,42857.9296875
2016-02-01,43277,43142.3125
2016-03-01,44075,43693.140625
2016-04-01,46561,42866.578125
2016-05-01,43715,44915.2734375
2016-06-01,34379,43515.65234375
2016-07-01,40318,39916.515625
2016-08-01,42615,43970.109375
2016-09-01,43945,41430.34765625
2016-10-01,47208,42654.2265625
2016-11-01,34577,45050.67578125
2016-12-01,39628,41250.1484375
2017-01-01,41884,43480.5234375
2017-02-01,40411,41183.98046875
2017-03-01,37479,41072.00390625
2017-04-01,43093,38833.32421875
2017-05-01,43658,43128.63671875
2017-06-01,40402,43450.296875
2017-07-01,52124,41221.8828125
2017-08-01,58453,58038.51953125
2017-09-01,57307,53017.51953125
2017-10-01,54698,54213.2109375
2017-11-01,54079,54023.875
2017-12-01,51484,53697.6328125
2018-01-01,56196,51637.87890625
2018-02-01,55706,56757.6015625
2018-03-01,50888,53367.63671875
2018-04-01,51511,51540.140625
2018-05-01,54155,52446.8203125
2018-06-01,54115,53676.83203125
2018-07-01,54668,52668.7890625
2018-08-01,57664,53900.84375
2018-09-01,55672,56566.5703125
2018-10-01,53067,53835.77734375
2018-11-01,51508,53042.40625
2018-12-01,52057,52000.23828125
2019-01-01,52049,52215.43359375
2019-02-01,50193,51321.16796875
2019-03-01,50359,51570.71484375
2019-04-01,,50838.53515625
2019-05-01,,50074.66015625
2019-06-01,,50453.3984375
