,供给(元/㎡),forecast
2014-03-01,26525,26525.0
2014-04-01,26984,26984.0
2014-05-01,27528,27528.0
2014-06-01,26505,27767.046875
2014-07-01,26851,27245.74609375
2014-08-01,27128,27099.345703125
2014-09-01,26561,27199.337890625
2014-10-01,27340,26947.958984375
2014-11-01,27977,27512.359375
2014-12-01,27938,28546.111328125
2015-01-01,27788,29179.642578125
2015-02-01,28119,29144.953125
2015-03-01,28489,29378.375
2015-04-01,29193,29906.578125
2015-05-01,30335,30820.287109375
2015-06-01,33644,32204.48828125
2015-07-01,35845,35333.640625
2015-08-01,37213,37843.78515625
2015-09-01,37425,39481.4296875
2015-10-01,38499,40329.7421875
2015-11-01,39840,41244.25390625
2015-12-01,43062,42338.33984375
2016-01-01,43824,44555.23828125
2016-02-01,47182,45794.9375
2016-03-01,48377,47855.5390625
2016-04-01,48870,48662.671875
2016-05-01,48654,49212.58984375
2016-06-01,48701,49303.86328125
2016-07-01,49550,49392.95703125
2016-08-01,48023,49743.59375
2016-09-01,50218,49289.59375
2016-10-01,49002,50094.6328125
2016-11-01,47888,49754.34765625
2016-12-01,48249,49471.34375
2017-01-01,48258,49151.30078125
2017-02-01,51763,49049.796875
2017-03-01,49094,50528.2890625
2017-04-01,49832,50282.5859375
2017-05-01,49561,50809.0703125
2017-06-01,50240,50181.87109375
2017-07-01,52520,50610.3515625
2017-08-01,53602,51747.09375
2017-09-01,52510,52981.8671875
2017-10-01,52921,53375.7109375
2017-11-01,51523,53568.00390625
2017-12-01,50808,52777.69921875
2018-01-01,53597,52214.05078125
2018-02-01,51988,52881.125
2018-03-01,54055,52702.703125
2018-04-01,53535,53922.66015625
2018-05-01,53384,53782.51953125
2018-06-01,53270,54113.8828125
2018-07-01,54502,53913.5625
2018-08-01,53742,54366.515625
2018-09-01,53629,54310.12109375
2018-10-01,54724,54332.46484375
2018-11-01,55055,54638.42578125
2018-12-01,55134,54982.6640625
2019-01-01,54867,55250.43359375
2019-02-01,54946,55297.1171875
2019-03-01,54831,55319.67578125
2019-04-01,,55127.9140625
2019-05-01,,55176.69921875
2019-06-01,,55202.96875
