,供给(元/㎡),forecast
2014-03-01,16946,16946.0
2014-04-01,17534,17534.0
2014-05-01,17492,17492.0
2014-06-01,17315,18031.44921875
2014-07-01,16802,17657.11328125
2014-08-01,16971,17181.046875
2014-09-01,16390,17104.169921875
2014-10-01,16957,16929.55078125
2014-11-01,16431,16997.271484375
2014-12-01,17210,17104.326171875
2015-01-01,17677,17222.35546875
2015-02-01,16624,18195.3125
2015-03-01,17510,17334.9765625
2015-04-01,17884,17294.8046875
2015-05-01,18560,18441.859375
2015-06-01,21062,18832.6953125
2015-07-01,21245,20971.310546875
2015-08-01,23718,22124.30859375
2015-09-01,22608,23894.01171875
2015-10-01,23068,24825.009765625
2015-11-01,24373,25929.71875
2015-12-01,29092,26549.10546875
2016-01-01,28162,31225.140625
2016-02-01,32776,31956.48828125
2016-03-01,33454,32894.92578125
2016-04-01,33684,33863.03515625
2016-05-01,32757,33526.34375
2016-06-01,31608,32867.75390625
2016-07-01,34670,31933.7265625
2016-08-01,33077,34077.57421875
2016-09-01,34272,33150.91796875
2016-10-01,32496,33997.97265625
2016-11-01,28827,32706.55078125
2016-12-01,29304,29829.8203125
2017-01-01,29293,29881.599609375
2017-02-01,31183,30714.513671875
2017-03-01,29096,31860.181640625
2017-04-01,31602,30544.162109375
2017-05-01,32537,31735.02734375
2017-06-01,33300,32975.07421875
2017-07-01,36916,33210.2734375
2017-08-01,37608,35888.328125
2017-09-01,37889,36705.66015625
2017-10-01,36701,37645.85546875
2017-11-01,36863,36862.98046875
2017-12-01,36197,36913.84765625
2018-01-01,36854,36165.16796875
2018-02-01,37670,36647.25
2018-03-01,38355,37244.36328125
2018-04-01,37244,38014.6484375
2018-05-01,38022,37370.77734375
2018-06-01,37368,38036.703125
2018-07-01,38402,37339.15625
2018-08-01,38711,38287.375
2018-09-01,38215,38503.13671875
2018-10-01,37338,38395.87890625
2018-11-01,37828,37684.8515625
2018-12-01,37565,37857.68359375
2019-01-01,37499,37500.7109375
2019-02-01,38307,37451.5234375
2019-03-01,38663,37404.6328125
2019-04-01,,38486.671875
2019-05-01,,38428.4296875
2019-06-01,,38318.8125
